Configuration	Term	J	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
"4f4.6s.6p"	"5K*"	"6"	" 2.6710320"	""	"0.900"	"                                                                      "	""
"4f4.6s.6p"	"5K*"	"7"	" 2.8220589"	""	"1.035"	"                                                                      "	""
"4f4.6s.6p"	"5K*"	"8"	" 2.9906821"	""	"1.135"	"                                                                      "	""
"4f4.6s.6p"	"5K*"	"9"	" 3.1639156"	""	"1.220"	"                                                                      "	""
"4f4.6s.6p"	"5I*"	"4"	" 2.5244017"	""	"0.735"	"                                                                      "	""
""	"*"	"6"	" 2.5332930"	""	"1.040"	"                                                                      "	""
""	"*"	"4"	" 2.5390677"	""	"0.895"	"                                                                      "	""
"4f3.5d.6s.6p"	"7L"	"5"	" 2.5400422"	""	"0.545"	"                                                                      "	""
""	"*"	"5"	" 2.5468627"	""	"0.990"	"                                                                      "	""
""	"*"	"7"	" 2.5520771"	""	"1.070"	"                                                                      "	""
"4f3.(2H*).5d.6s2"	"*"	"3"	" 2.5534440"	""	"0.910"	"  32  3G*        :    10                         (4F*) 5G*            "	""
""	"*"	"6"	" 2.5668589"	""	"1.035"	"                                                                      "	""
""	"*"	"5"	" 2.5822997"	""	"0.985"	"                                                                      "	""
""	"*"	"6"	" 2.5837323"	""	"0.940"	"                                                                      "	""
""	"*"	"4"	" 2.5862562"	""	"1.080"	"                                                                      "	""
""	"*"	"6"	" 2.5935088"	""	"0.840"	"                                                                      "	""
""	"*"	"5"	" 2.5990896"	""	"0.990"	"                                                                      "	""
"4f4.6s.6p"	"5I*"	"5"	" 2.6043425"	""	"0.960"	"                                                                      "	""
""	"*"	"4"	" 2.6048006"	""	"1.280"	"                                                                      "	""
""	"*"	"7"	" 2.6068319"	""	"1.235"	"                                                                      "	""
""	"*"	"4"	" 2.6265905"	""	"0.920"	"                                                                      "	""
""	"*"	"3"	" 2.6318808"	""	"1.032"	"                                                                      "	""
""	"*"	"7"	" 2.6333533"	""	"1.250"	"                                                                      "	""
"4f3.5d.6s.6p"	"7K"	"4"	" 2.6355771"	""	"0.465"	"                                                                      "	""
""	"*"	"5"	" 2.6373329"	""	"1.040"	"                                                                      "	""
""	"*"	"7"	" 2.6391247"	""	"1.050"	"                                                                      "	""
""	"*"	"6"	" 2.6426307"	""	"1.060"	"                                                                      "	""
""	"*"	"4"	" 2.6426536"	""	"0.985"	"                                                                      "	""
""	"*"	"6"	" 2.6465136"	""	"0.975"	"                                                                      "	""
""	"*"	"4"	" 2.6465465"	""	"0.880"	"                                                                      "	""
"4f3.5d.6s.6p"	"7L"	"5"	" 2.6484778"	""	"0.570"	"                                                                      "	""
"4f3.5d.6s.6p"	"7L"	"6"	" 2.6517944"	""	"0.820"	"                                                                      "	""
""	"*"	"7"	" 2.6546905"	""	"1.067"	"                                                                      "	""
""	"*"	"5"	" 2.6618341"	""	"1.220"	"                                                                      "	""
""	"*"	"4"	" 2.6642208"	""	"0.910"	"                                                                      "	""
""	"*"	"5"	" 2.6729500"	""	"0.835"	"                                                                      "	""
"4f4.6s.6p"	"5H*"	"3"	" 2.6746628"	""	"0.650"	"                                                                      "	""
""	"*"	"7"	" 2.6830243"	""	"0.980"	"                                                                      "	""
""	"*"	"6"	" 2.6927295"	""	"0.960"	"                                                                      "	""
""	"*"	"5"	" 2.6937763"	""	"1.000"	"                                                                      "	""
""	"*"	"4"	" 2.6976827"	""	"0.735"	"                                                                      "	""
""	"*"	"6"	" 2.7025952"	""	"0.990"	"                                                                      "	""
"4f4.5d2"	"7M"	"6"	" 2.7139718"	""	"0.580"	"                                                                      "	""
""	"*"	"7"	" 2.7163250"	""	"0.970"	"                                                                      "	""
"4f3.5d.6s.6p"	"7K"	"5"	" 2.7182466"	""	"0.780"	"                                                                      "	""
""	"*"	"4"	" 2.7185895"	""	"0.860"	"                                                                      "	""
""	"*"	"3"	" 2.7216850"	""	"1.070"	"                                                                      "	""
""	"*"	"4"	" 2.7289344"	""	"0.815"	"                                                                      "	""
""	"*"	"7"	" 2.7328064"	""	"1.020"	"                                                                      "	""
""	"*"	"6"	" 2.7338188"	""	"1.040"	"                                                                      "	""
""	"*"	"4"	" 2.7371545"	""	"1.035"	"                                                                      "	""
"4f3.5d.6s.6p"	"7L"	"6"	" 2.7427383"	""	"0.765"	"                                                                      "	""
""	"*"	"6"	" 2.7430138"	""	"1.170"	"                                                                      "	""
""	"*"	"5"	" 2.7435967"	""	"1.060"	"                                                                      "	""
""	"*"	"1"	" 2.7443243"	""	"1.395"	"                                                                      "	""
""	"*"	"5"	" 2.7514942"	""	"1.090"	"                                                                      "	""
""	"*"	"3"	" 2.7552066"	""	"1.245"	"                                                                      "	""
""	"*"	"3"	" 2.7560447"	""	"0.705"	"                                                                      "	""
""	"*"	"5"	" 2.7576455"	""	"0.770"	"                                                                      "	""
""	"*"	"5"	" 2.7593743"	""	"1.030"	"                                                                      "	""
""	"*"	"6"	" 2.7652255"	""	"1.080"	"                                                                      "	""
""	"*"	"7"	" 2.7673633"	""	"1.128"	"                                                                      "	""
""	"*"	"5"	" 2.7731878"	""	"1.085"	"                                                                      "	""
""	"*"	"5"	" 2.7780581"	""	"0.885"	"                                                                      "	""
""	"*"	"4"	" 2.7860750"	""	"0.995"	"                                                                      "	""
""	"*"	"7"	" 2.7875075"	""	"1.120"	"                                                                      "	""
""	"*"	"3"	" 2.7885249"	""	"0.830"	"                                                                      "	""
""	"*"	"5"	" 2.7934101"	""	"0.850"	"                                                                      "	""
""	"*"	"6"	" 2.7970923"	""	"1.135"	"                                                                      "	""
""	"*"	"5"	" 2.8027453"	""	"1.000"	"                                                                      "	""
"4f3.5d.6s.6p"	"7L"	"7"	" 2.8039248"	""	"0.845"	"                                                                      "	""
""	"*"	"4"	" 2.8047705"	""	"1.280"	"                                                                      "	""
""	"*"	"4"	" 2.8048685"	""	"1.135"	"                                                                      "	""
""	"*"	"3"	" 2.8059471"	""	"1.130"	"                                                                      "	""
""	"*"	"4"	" 2.8116901"	""	"0.885"	"                                                                      "	""
"4f4.5d2"	"7M"	"7"	" 2.8151331"	""	"0.810"	"                                                                      "	""
""	"*"	"5"	" 2.8189907"	""	"1.070"	"                                                                      "	""
""	"*"	"6"	" 2.8192581"	""	"0.985"	"                                                                      "	""
""	"*"	"4"	" 2.8286499"	""	"0.975"	"                                                                      "	""
""	"*"	"5"	" 2.8286856"	""	"0.755"	"                                                                      "	""
""	"*"	"6"	" 2.8356037"	""	"1.164"	"                                                                      "	""
""	""	"6"	" 2.8360956"	""	"0.900"	"                                                                      "	""
"4f3.5d.6s.6p"	"7I"	"3"	" 2.8404736"	""	"0.395"	"                                                                      "	""
""	"*"	"3"	" 2.8429502"	""	"0.765"	"                                                                      "	""
""	"*"	"7"	" 2.8440405"	""	"1.065"	"                                                                      "	""
""	"*"	"3"	" 2.8462433"	""	"0.990"	"                                                                      "	""
""	"*"	"4"	" 2.8536838"	""	"0.810"	"                                                                      "	""
""	"*"	"6"	" 2.8566626"	""	"1.075"	"                                                                      "	""
""	"*"	"5"	" 2.8578060"	""	"1.060"	"                                                                      "	""
""	""	"5"	" 2.8597570"	""	"0.835"	"                                                                      "	""
""	"*"	"4"	" 2.8626315"	""	"1.250"	"                                                                      "	""
""	""	"6"	" 2.8651444"	""	"0.895"	"                                                                      "	""
""	""	"5"	" 2.8733643"	""	"0.785"	"                                                                      "	""
""	"*"	"5"	" 2.8762016"	""	"1.085"	"                                                                      "	""
""	"*"	"4"	" 2.8769058"	""	"1.200"	"                                                                      "	""
""	"*"	"3"	" 2.8786564"	""	"1.060"	"                                                                      "	""
""	""	"6"	" 2.8791568"	""	"0.965"	"                                                                      "	""
""	"*"	"5"	" 2.8816302"	""	"0.775"	"                                                                      "	""
""	""	"6"	" 2.8816929"	""	"1.115"	"                                                                      "	""
""	"7I"	"3"	" 2.8824334"	""	"0.290"	"                                                                      "	""
"4f3.5d.6s.6p"	"7L"	"7"	" 2.8850484"	""	"0.905"	"                                                                      "	""
""	""	"4"	" 2.8857816"	""	"0.580"	"                                                                      "	""
""	""	"5"	" 2.8864872"	""	"0.545"	"                                                                      "	""
""	"*"	"6"	" 2.8868028"	""	"1.040"	"                                                                      "	""
""	"*"	"6"	" 2.8918419"	""	"1.070"	"                                                                      "	""
""	"7I"	"4"	" 2.8946281"	""	"0.740"	"                                                                      "	""
""	"*"	"6"	" 2.8951294"	""	"0.875"	"                                                                      "	""
""	"*"	"5"	" 2.9054259"	""	"0.965"	"                                                                      "	""
""	"*"	"4"	" 2.9059962"	""	"0.885"	"                                                                      "	""
""	"*"	"8"	" 2.9104079"	""	"1.123"	"                                                                      "	""
""	"*"	"3"	" 2.9120268"	""	"0.683"	"                                                                      "	""
""	"*"	"6"	" 2.9131331"	""	"0.930"	"                                                                      "	""
""	"*"	"7"	" 2.9158296"	""	"1.052"	"                                                                      "	""
"4f4.(5I).5d (6L).6p"	"7M*"	"6"	" 2.9203053"	""	"0.730"	"                                                                      "	""
"4f4.(5I).5d (6L).6p"	"7M*"	"7"	" 3.0412594"	""	"0.820"	"                                                                      "	""
"4f4.(5I).5d (6L).6p"	"7M*"	"8"	" 3.1736166"	""	"0.975"	"                                                                      "	""
"4f4.(5I).5d (6L).6p"	"7M*"	"9"	" 3.3153707"	""	"1.080"	"                                                                      "	""
"4f4.(5I).5d (6L).6p"	"7M*"	"10"	" 3.4679025"	""	"1.170"	"                                                                      "	""
"4f4.(5I).5d (6L).6p"	"7M*"	"11"	" 3.6160463"	""	"1.205"	"                                                                      "	""
"4f4.(5I).5d (6L).6p"	"7M*"	"12"	" 3.7796070"	""	"1.250"	"                                                                      "	""
""	"*"	"4"	" 2.9214107"	""	"0.940"	"                                                                      "	""
""	""	"5"	" 2.9217137"	""	"0.760"	"                                                                      "	""
""	"*"	"5"	" 2.9226856"	""	"1.080"	"                                                                      "	""
""	"*"	"6"	" 2.9233456"	""	"0.985"	"                                                                      "	""
""	"*"	"8"	" 2.9325649"	""	"1.128"	"                                                                      "	""
""	"*"	"7"	" 2.9439796"	""	"1.040"	"                                                                      "	""
""	"*"	"6"	" 2.9453376"	""	"1.075"	"                                                                      "	""
""	"*"	"3"	" 2.9460964"	""	"1.190"	"                                                                      "	""
""	"*"	"5"	" 2.9510033"	""	"1.065"	"                                                                      "	""
""	""	"4"	" 2.9518820"	""	"0.610"	"                                                                      "	""
""	"*"	"5"	" 2.9544877"	""	"1.165"	"                                                                      "	""
""	"*"	"4"	" 2.9565136"	""	"1.175"	"                                                                      "	""
""	""	"3"	" 2.9590168"	""	"0.450"	"                                                                      "	""
""	"*"	"7"	" 2.9603610"	""	"1.075"	"                                                                      "	""
""	"*"	"6"	" 2.9618917"	""	"1.030"	"                                                                      "	""
""	""	"8"	" 2.9697799"	""	"1.053"	"                                                                      "	""
""	"*"	"4"	" 2.9698427"	""	"0.830"	"                                                                      "	""
"4f4.5d2"	"7L"	"6"	" 2.9711743"	""	"0.815"	"                                                                      "	""
""	"*"	"5"	" 2.9716917"	""	"0.980"	"                                                                      "	""
""	""	"6"	" 2.9717862"	""	"0.840"	"                                                                      "	""
""	"*"	"6"	" 2.9738634"	""	"1.100"	"                                                                      "	""
""	"*"	"7"	" 2.9745171"	""	"1.225"	"                                                                      "	""
""	"*"	"6"	" 2.9751884"	""	"1.045"	"                                                                      "	""
""	"*"	"4"	" 2.9757535"	""	"1.110"	"                                                                      "	""
""	"*"	"4"	" 2.9843295"	""	"0.825"	"                                                                      "	""
""	"*"	"8"	" 2.9852643"	""	"1.070"	"                                                                      "	""
""	""	"6"	" 2.9937998"	""	"0.890"	"                                                                      "	""
""	"*"	"8"	" 2.9965363"	""	"1.100"	"                                                                      "	""
""	"*"	"4"	" 2.997427"	""	"0.965"	"                                                                      "	""
""	""	"5"	" 3.0002353"	""	"0.800"	"                                                                      "	""
""	"*"	"7"	" 3.0020205"	""	"1.060"	"                                                                      "	""
"4f3.5d.6s.6p"	"5M"	"7"	" 3.0026303"	""	"0.870"	"                                                                      "	""
""	""	"4"	" 3.0035978"	""	"0.875"	"                                                                      "	""
""	""	"8"	" 3.0042958"	""	"1.065"	"                                                                      "	""
""	"*"	"4"	" 3.0063019"	""	"0.680"	"                                                                      "	""
""	""	"7"	" 3.0078679"	""	"1.010"	"                                                                      "	""
"4f3.5d.6s.6p"	"7M"	"9"	" 3.0084755"	""	"1.065"	"                                                                      "	""
""	"*"	"7"	" 3.0091851"	""	"0.990"	"                                                                      "	""
""	"*"	"5"	" 3.0118155"	""	"1.060"	"                                                                      "	""
""	"*"	"5"	" 3.0208056"	""	"1.090"	"                                                                      "	""
""	"*"	"5"	" 3.0287574"	""	"1.190"	"                                                                      "	""
""	"*"	"4"	" 3.0350724"	""	"0.835"	"                                                                      "	""
"4f4.5d2"	"7M"	"9"	" 3.0449004"	""	"1.098"	"                                                                      "	""
""	""	"2"	" 3.0450067"	""	"0.245"	"                                                                      "	""
""	""	"5"	" 3.0472813"	""	"0.870"	"                                                                      "	""
""	"*"	"5"	" 3.0478001"	""	"0.860"	"                                                                      "	""
""	"*"	"5"	" 3.0483044"	""	"1.110"	"                                                                      "	""
""	"*"	"6"	" 3.0487681"	""	"1.010"	"                                                                      "	""
""	"*"	"4"	" 3.0507707"	""	"0.840"	"                                                                      "	""
""	"*"	"4"	" 3.0592564"	""	"1.060"	"                                                                      "	""
""	"*"	"8"	" 3.0609560"	""	"1.155"	"                                                                      "	""
""	"*"	"6"	" 3.0627302"	""	"1.135"	"                                                                      "	""
""	"*"	"7"	" 3.0660744"	""	"1.150"	"                                                                      "	""
""	"*"	"5"	" 3.0680869"	""	"1.185"	"                                                                      "	""
""	"*"	"6"	" 3.0687387"	""	"0.925"	"                                                                      "	""
""	"*"	"8"	" 3.0715077"	""	"1.145"	"                                                                      "	""
""	"*"	"3"	" 3.0717293"	""	"1.352"	"                                                                      "	""
"4f4.5d2"	"7L"	"7"	" 3.0739847"	""	"0.965"	"                                                                      "	""
""	""	"7"	" 3.0774388"	""	"1.060"	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6M*).6p"	"7N"	"7"	" 3.0817959"	""	"0.850"	"                                                                      "	""
""	"*"	"5"	" 3.0833403"	""	"0.960"	"                                                                      "	""
""	"*"	"6"	" 3.0899850"	""	"1.080"	"                                                                      "	""
""	""	"6"	" 3.0905252"	""	"0.955"	"                                                                      "	""
"4f4.(5I).5d (6L).6p?"	"a 7L*?"	"5"	" 3.0914837"	""	"0.625"	"                                                                      "	""
"4f4.(5I).5d (6L).6p?"	"a 7L*?"	"6"	" 3.2134522"	""	"0.825"	"                                                                      "	""
"4f4.(5I).5d (6L).6p?"	"a 7L*?"	"7"	" 3.2994183"	""	"0.960"	"                                                                      "	""
"4f4.(5I).5d (6L).6p?"	"a 7L*?"	"8"	" 3.3882880"	""	"0.945"	"                                                                      "	""
"4f4.(5I).5d (6L).6p?"	"a 7L*?"	"9"	" 3.5142121"	""	"1.075"	"                                                                      "	""
"4f4.(5I).5d (6L).6p?"	"a 7L*?"	"10"	" 3.6676910"	""	"1.190"	"                                                                      "	""
"4f4.(5I).5d (6L).6p?"	"a 7L*?"	"11"	" 3.8279194"	""	"1.230"	"                                                                      "	""
""	"*"	"9"	" 3.0915579"	""	"1.150"	"                                                                      "	""
""	"*"	"7"	" 3.0956982"	""	"1.145"	"                                                                      "	""
""	"*"	"6"	" 3.0976439"	""	"1.210"	"                                                                      "	""
""	""	"7"	" 3.1002639"	""	"0.905"	"                                                                      "	""
""	""	"7"	" 3.1028769"	""	"1.020"	"                                                                      "	""
""	""	"8"	" 3.1054070"	""	"1.025"	"                                                                      "	""
""	"*"	"7"	" 3.1075052"	""	"1.100"	"                                                                      "	""
""	"*"	"5"	" 3.1088764"	""	"1.020"	"                                                                      "	""
""	"*"	"6"	" 3.1138402"	""	"1.225"	"                                                                      "	""
""	"*"	"9"	" 3.1171538"	""	"1.120"	"                                                                      "	""
""	"*"	"3"	" 3.1199880"	""	"1.050"	"                                                                      "	""
""	""	"8"	" 3.1231533"	""	"1.110"	"                                                                      "	""
""	"*"	"8"	" 3.1232574"	""	"1.195"	"                                                                      "	""
""	"*"	"6"	" 3.1239622"	""	"1.120"	"                                                                      "	""
""	"*"	"7"	" 3.1241247"	""	"1.120"	"                                                                      "	""
""	""	"6"	" 3.1252784"	""	"0.905"	"                                                                      "	""
""	"*"	"5"	" 3.1277645"	""	"0.995"	"                                                                      "	""
""	"*"	"8"	" 3.1344371"	""	"1.115"	"                                                                      "	""
""	"*"	"3"	" 3.1346162"	""	"1.360"	"                                                                      "	""
""	"*"	"6"	" 3.136937"	""	"1.21"	"                                                                      "	""
""	"*"	"7"	" 3.1429467"	""	"1.210"	"                                                                      "	""
""	"*"	"6"	" 3.1435654"	""	"0.940"	"                                                                      "	""
""	"*"	"8"	" 3.1470779"	""	"1.140"	"                                                                      "	""
""	""	"7"	" 3.1471968"	""	"0.971"	"                                                                      "	""
""	"*"	"6"	" 3.1519534"	""	"0.910"	"                                                                      "	""
""	"*"	"4"	" 3.1551578"	""	"1.175"	"                                                                      "	""
""	""	"5"	" 3.1554474"	""	"0.820"	"                                                                      "	""
""	"*"	"5"	" 3.1579349"	""	"0.580"	"                                                                      "	""
""	"*"	"4"	" 3.1586884"	""	"0.915"	"                                                                      "	""
""	"*"	"6"	" 3.1588861"	""	"1.085"	"                                                                      "	""
""	"*"	"3"	" 3.1615884"	""	"0.825"	"                                                                      "	""
""	"*"	"7"	" 3.1620903"	""	"1.115"	"                                                                      "	""
""	"*"	"8"	" 3.1632982"	""	"1.140"	"                                                                      "	""
""	""	"8"	" 3.1652436"	""	"0.990"	"                                                                      "	""
""	""	"7"	" 3.1658517"	""	"0.905"	"                                                                      "	""
""	"*"	"3"	" 3.1671900"	""	"0.725"	"                                                                      "	""
""	"*"	"5"	" 3.1684451"	""	"0.985"	"                                                                      "	""
""	"*"	"7"	" 3.1735654"	""	"1.095"	"                                                                      "	""
""	"*"	"2"	" 3.1745869"	""	"0.505"	"                                                                      "	""
""	"*"	"6"	" 3.1751575"	""	"0.895"	"                                                                      "	""
""	""	"5"	" 3.1764315"	""	"0.965"	"                                                                      "	""
""	"*"	"4"	" 3.1766146"	""	"1.175"	"                                                                      "	""
""	""	"7"	" 3.1769178"	""	"1.050"	"                                                                      "	""
""	"*"	"4"	" 3.1790659"	""	"1.120"	"                                                                      "	""
""	"*"	"3"	" 3.1792598"	""	"0.900"	"                                                                      "	""
""	"*"	"6"	" 3.1816925"	""	"1.190"	"                                                                      "	""
""	""	"6"	" 3.1832013"	""	"0.915"	"                                                                      "	""
""	""	"8"	" 3.1868471"	""	"1.095"	"                                                                      "	""
""	""	"8"	" 3.1913788"	""	"1.090"	"                                                                      "	""
""	""	"6"	" 3.1921485"	""	"0.860"	"                                                                      "	""
""	"*"	"6"	" 3.1927041"	""	"1.200"	"                                                                      "	""
""	"*"	"3"	" 3.1972772"	""	"0.900"	"                                                                      "	""
""	"*"	"4"	" 3.1976864"	""	"0.920"	"                                                                      "	""
""	""	"3"	" 3.2015978"	""	"0.660"	"                                                                      "	""
""	"*"	"7"	" 3.2049119"	""	"1.085"	"                                                                      "	""
"4f4.5d.6p?"	"b 7L*?"	"5"	" 3.2067655"	""	"0.750"	"                                                                      "	""
"4f4.5d.6p?"	"b 7L*?"	"6"	" 3.3279998"	""	"0.815"	"                                                                      "	""
"4f4.5d.6p?"	"b 7L*?"	"7"	" 3.4450006"	""	"0.980"	"                                                                      "	""
"4f4.5d.6p?"	"b 7L*?"	"8"	" 3.5734201"	""	"1.100"	"                                                                      "	""
"4f4.5d.6p?"	"b 7L*?"	"9"	" 3.7054609"	""	"1.160"	"                                                                      "	""
"4f4.5d.6p?"	"b 7L*?"	"10"	" 3.8426647"	""	"1.225"	"                                                                      "	""
"4f4.5d.6p?"	"b 7L*?"	"11"	" 3.9808260"	""	"1.270"	"                                                                      "	""
""	"*"	"7"	" 3.2094236"	""	"0.965"	"                                                                      "	""
""	"*"	"5"	" 3.2142236"	""	"1.050"	"                                                                      "	""
""	""	"6"	" 3.2253428"	""	"1.090"	"                                                                      "	""
""	""	"6"	" 3.2270434"	""	"1.080"	"                                                                      "	""
""	"*"	"5"	" 3.2271940"	""	"1.035"	"                                                                      "	""
""	"*"	"3"	" 3.2311131"	""	"1.360"	"                                                                      "	""
"4f4.5d.6p?"	"5K*?"	"5"	" 3.2325538"	""	"0.855"	"                                                                      "	""
"4f4.5d.6p?"	"5K*?"	"6"	" 3.3960710"	""	"0.905"	"                                                                      "	""
"4f4.5d.6p?"	"5K*?"	"7"	" 3.5369875"	""	"1.065"	"                                                                      "	""
"4f4.5d.6p?"	"5K*?"	"8"	" 3.6891411"	""	"1.135"	"                                                                      "	""
"4f4.5d.6p?"	"5K*?"	"9"	" 3.8761429"	""	"1.205"	"                                                                      "	""
""	"*"	"3"	" 3.2354924"	""	"0.980"	"                                                                      "	""
""	"*"	"7"	" 3.2428014"	""	"0.950"	"                                                                      "	""
""	"*"	"3"	" 3.2437750"	""	"1.180"	"                                                                      "	""
""	"*"	"4"	" 3.2523845"	""	"1.025"	"                                                                      "	""
""	""	"2"	" 3.2593555"	""	"0.465"	"                                                                      "	""
""	""	"6"	" 3.2612642"	""	"0.990"	"                                                                      "	""
""	"*"	"7"	" 3.2641268"	""	"1.250"	"                                                                      "	""
""	""	"5"	" 3.2646721"	""	"0.835"	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6M*).6p"	"7N"	"8"	" 3.2648905"	""	"0.890"	"                                                                      "	""
""	"*"	"5"	" 3.2663930"	""	"1.100"	"                                                                      "	""
""	"*"	"3"	" 3.2664261"	""	"1.025"	"                                                                      "	""
""	""	"5"	" 3.2678825"	""	"0.875"	"                                                                      "	""
""	"*"	"7"	" 3.2725205"	""	"1.080"	"                                                                      "	""
""	"*"	"3"	" 3.2725673"	""	"1.060"	"                                                                      "	""
""	""	"8"	" 3.2763230"	""	"1.135"	"                                                                      "	""
""	"*"	"4"	" 3.2792903"	""	"0.870"	"                                                                      "	""
""	"*"	"3"	" 3.2809814"	""	"0.865"	"                                                                      "	""
""	"*"	"5"	" 3.2836175"	""	"1.035"	"                                                                      "	""
""	"*"	"5"	" 3.2859067"	""	"1.180"	"                                                                      "	""
""	"*"	"9"	" 3.2869331"	""	"1.165"	"                                                                      "	""
""	"*"	"6"	" 3.2869478"	""	"1.040"	"                                                                      "	""
""	""	"7"	" 3.2875287"	""	"1.085"	"                                                                      "	""
""	"*"	"5"	" 3.2974149"	""	"1.015"	"                                                                      "	""
""	"*"	"4"	" 3.2984144"	""	"0.935"	"                                                                      "	""
""	"*"	"7"	" 3.3023014"	""	"1.125"	"                                                                      "	""
""	"*"	"4"	" 3.3057177"	""	"1.000"	"                                                                      "	""
""	""	"6"	" 3.3064695"	""	"1.020"	"                                                                      "	""
""	"*"	"4"	" 3.3083662"	""	"1.130"	"                                                                      "	""
""	""	"4"	" 3.3097154"	""	"0.805"	"                                                                      "	""
""	"*"	"6"	" 3.3098453"	""	"1.040"	"                                                                      "	""
""	"*"	"8"	" 3.3182712"	""	"1.210"	"                                                                      "	""
""	"*"	"4"	" 3.3191225"	""	"1.200"	"                                                                      "	""
""	"*"	"8"	" 3.3206590"	""	"1.118"	"                                                                      "	""
""	"*"	"6"	" 3.3248146"	""	"1.215"	"                                                                      "	""
""	""	"7"	" 3.3271605"	""	"0.860"	"                                                                      "	""
"4f4.(5I).5d (6L).6p?"	"5M*?"	"7"	" 3.3324622"	""	"0.805"	"                                                                      "	""
"4f4.(5I).5d (6L).6p?"	"5M*?"	"8"	" 3.4667651"	""	"0.995"	"                                                                      "	""
"4f4.(5I).5d (6L).6p?"	"5M*?"	"9"	" 3.6339657"	""	"1.025"	"                                                                      "	""
"4f4.(5I).5d (6L).6p?"	"5M*?"	"10"	" 3.7786255"	""	"1.170"	"                                                                      "	""
"4f4.(5I).5d (6L).6p?"	"5M*?"	"11"	" 3.9224940"	""	"1.205"	"                                                                      "	""
""	""	"6"	" 3.3342504"	""	"0.910"	"                                                                      "	""
""	""	"7"	" 3.3349779"	""	"1.040"	"                                                                      "	""
""	"*"	"6"	" 3.3361645"	""	"1.125"	"                                                                      "	""
"4f4.5d.6p?"	"a 7K*?"	"4"	" 3.3429809"	""	"0.545"	"                                                                      "	""
"4f4.5d.6p?"	"a 7K*?"	"5"	" 3.4332855"	""	"0.890"	"                                                                      "	""
"4f4.5d.6p?"	"a 7K*?"	"6"	" 3.5559137"	""	"1.025"	"                                                                      "	""
"4f4.5d.6p?"	"a 7K*?"	"7"	" 3.6707592"	""	"1.073"	"                                                                      "	""
"4f4.5d.6p?"	"a 7K*?"	"8"	" 3.7945061"	""	"1.160"	"                                                                      "	""
"4f4.5d.6p?"	"a 7K*?"	"9"	" 3.9285683"	""	"1.173"	"                                                                      "	""
"4f4.5d.6p?"	"a 7K*?"	"10"	" 4.0756797"	""	"1.265"	"                                                                      "	""
""	""	"9"	" 3.3459709"	""	"1.140"	"                                                                      "	""
""	""	"7"	" 3.3475867"	""	"1.055"	"                                                                      "	""
"4f4.5d.6p?"	"5L*?"	"6"	" "	""	""	"                                                                      "	""
"4f4.5d.6p?"	"5L*?"	"7"	" 3.3504622"	""	"0.995"	"                                                                      "	""
"4f4.5d.6p?"	"5L*?"	"8"	" 3.4914806"	""	"1.032"	"                                                                      "	""
"4f4.5d.6p?"	"5L*?"	"9"	" 3.6430469"	""	"1.115"	"                                                                      "	""
"4f4.5d.6p?"	"5L*?"	"10"	" 3.7949889"	""	"1.183"	"                                                                      "	""
""	"*"	"8"	" 3.3530713"	""	"1.015"	"                                                                      "	""
""	""	"6"	" 3.3545276"	""	"0.990"	"                                                                      "	""
""	"*"	"7"	" 3.3581645"	""	"1.175"	"                                                                      "	""
""	"*"	"8"	" 3.3638062"	""	"1.17"	"                                                                      "	""
""	"*"	"4"	" 3.3654370"	""	"0.965"	"                                                                      "	""
""	""	"4"	" 3.3751194"	""	"0.860"	"                                                                      "	""
""	""	"7"	" 3.3752999"	""	"1.095"	"                                                                      "	""
""	"*"	"4"	" 3.3761267"	""	"1.125"	"                                                                      "	""
""	"*"	"3"	" 3.3796029"	""	"0.720"	"                                                                      "	""
""	""	"9"	" 3.3805005"	""	"1.040"	"                                                                      "	""
""	""	"8"	" 3.3877951"	""	"1.040"	"                                                                      "	""
""	"*"	"4"	" 3.3883379"	""	"0.570"	"                                                                      "	""
""	"*"	"3"	" 3.3884485"	""	"0.995"	"                                                                      "	""
""	"*"	"7"	" 3.3939912"	""	"1.235"	"                                                                      "	""
""	""	"7"	" 3.3949111"	""	"1.005"	"                                                                      "	""
""	""	"6"	" 3.4000974"	""	"1.025"	"                                                                      "	""
""	"*"	"2"	" 3.4015904"	""	"0.910"	"                                                                      "	""
""	"*"	"6"	" 3.4039516"	""	"1.035"	"                                                                      "	""
""	"*"	"5"	" 3.4064103"	""	"1.080"	"                                                                      "	""
""	"*"	"4"	" 3.4083029"	""	"1.085"	"                                                                      "	""
""	""	"7"	" 3.4098872"	""	"1.087"	"                                                                      "	""
""	"*"	"7"	" 3.4100671"	""	"1.125"	"                                                                      "	""
""	"*"	"5"	" 3.4125039"	""	"0.970"	"                                                                      "	""
""	""	"7"	" 3.4162752"	""	"0.995"	"                                                                      "	""
""	""	"7"	" 3.4179850"	""	"1.000"	"                                                                      "	""
""	"*"	"3"	" 3.4197655"	""	"0.945"	"                                                                      "	""
""	""	"4"	" 3.4205306"	""	"0.790"	"                                                                      "	""
""	""	"6"	" 3.4206508"	""	"1.080"	"                                                                      "	""
""	"*"	"7"	" 3.4245403"	""	"1.120"	"                                                                      "	""
""	"*"	"3"	" 3.4245606"	""	"0.810"	"                                                                      "	""
