Configuration	Term	J	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
"4f4.6s2?"	"5F"	"5"	" "	""	""	"                                                                      "	""
"4f4.6s2?"	"5F"	"4"	" "	""	""	"                                                                      "	""
"4f4.6s2?"	"5F"	"1"	" 1.2545921"	""	"0.0"	"                                                                      "	""
"4f4.6s2?"	"5F"	"2"	" 1.2980486"	""	"0.99"	"                                                                      "	""
"4f4.6s2?"	"5F"	"3"	" 1.3785141"	""	""	"                                                                      "	""
"4f4.(5I).5d.6s.(3D)"	"5L"	"6"	" 1.3359207"	""	"0.728"	"  59             :    33                         (5I)(1D) 5L          "	""
"4f4.(5I).5d.6s.(3D)"	"5L"	"7"	" 1.4948557"	""	"0.985"	"  42             :    27                         (5I)(3D) 7K          "	""
"4f4.(5I).5d.6s.(3D)"	"5L"	"8"	" 1.6531439"	""	"1.055"	"  59             :    30                         (5I)(1D) 5L          "	""
"4f4.(5I).5d.6s.(3D)"	"5L"	"9"	" 1.8210731"	""	"1.140"	"  63             :    29                         (5I)(1D) 5L          "	""
"4f4.(5I).5d.6s.(3D)"	"5L"	"10"	" 1.995161"	""	"1.200"	"  67             :    27                         (5I)(1D) 5L          "	""
"4f3.(4I*).5d.6s2"	"*"	"5"	" 1.3537531"	""	"0.900"	"  35  5I*        :    30                         (4I*) 3I*            "	""
"4f4.(5I).5d.6s.(3D)"	"7I"	"3"	" 1.3639939"	""	"0.270"	"  90             :     9                         (5I)(3D) 5H          "	""
"4f4.(5I).5d.6s.(3D)"	"7I"	"4"	" 1.4240940"	""	"0.750"	"  85             :     7                         (5I)(3D) 5H          "	""
"4f4.(5I).5d.6s.(3D)"	"7I"	"5"	" 1.5099593"	""	"0.963"	"  80             :     6                         (5I)(3D) 5K          "	""
"4f4.(5I).5d.6s.(3D)"	"7I"	"6"	" 1.6015562"	""	"1.105"	"  74             :     9                         (5I)(3D) 5K          "	""
"4f4.(5I).5d.6s.(3D)"	"7I"	"7"	" 1.7108406"	""	"1.203"	"  74             :     8                         (5I)(3D) 7H          "	""
"4f4.(5I).5d.6s.(3D)"	"7I"	"8"	" 1.8324976"	""	"1.270"	"  77             :     8                         (5I)(3D) 5K          "	""
"4f4.(5I).5d.6s.(3D)"	"7I"	"9"	" 1.9632296"	""	"1.315"	"  87             :    10                         (5I)(3D) 5K          "	""
"4f3.(4I*).5d2.(3F) (6L*).6s"	"7L*"	"9"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6L*).6s"	"7L*"	"11"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6L*).6s"	"7L*"	"10"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6L*).6s"	"7L*"	"5"	" 1.3773173"	""	"0.510"	"  95             :     3  4f3.(4I*)(3F) (4K*).6s 5K*                  "	""
"4f3.(4I*).5d2.(3F) (6L*).6s"	"7L*"	"6"	" 1.4646010"	""	"0.790"	"  88             :     4  4f3.(4I*)(3F) (6L*).6s 5L*                  "	""
"4f3.(4I*).5d2.(3F) (6L*).6s"	"7L*"	"7"	" 1.5635908"	""	"0.880"	"  84             :     6  4f3.(4I*)(3F) (6L*).6s 5L*                  "	""
"4f3.(4I*).5d2.(3F) (6L*).6s"	"7L*"	"8"	" 1.7019249"	""	"1.080"	"  79             :     6  4f3.(4I*)(3F) (4L*).6s 5L*                  "	""
"4f3.(4I*).5d2.(3F) (6K*).6s"	"7K*"	"10"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6K*).6s"	"7K*"	"9"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6K*).6s"	"7K*"	"4"	" 1.4085589"	""	"0.410"	"  87             :     5  4f3.(4I*)(3P) (6K*).6s 7K*                  "	""
"4f3.(4I*).5d2.(3F) (6K*).6s"	"7K*"	"5"	" 1.4889518"	""	"0.775"	"  83             :     5  4f3.(4I*)(3P) (6K*).6s 7K*                  "	""
"4f3.(4I*).5d2.(3F) (6K*).6s"	"7K*"	"6"	" 1.5915895"	""	"0.985"	"  80             :     5  4f3.(4I*)(3F) (6K*).6s 5K*                  "	""
"4f3.(4I*).5d2.(3F) (6K*).6s"	"7K*"	"7"	" 1.7109547"	""	"1.090"	"  74             :     6  4f3.(4I*)(3F) (4K*).6s 5K*                  "	""
"4f3.(4I*).5d2.(3F) (6K*).6s"	"7K*"	"8"	" 1.8512366"	""	"1.180"	"  69             :     7  4f3.(4I*)(3F) (6L*).6s 7L*                  "	""
"4f3.(4I*).5d.6s2"	"5G*"	"2"	" "	""	""	"  94             :     4                         (2H*) 3F*            "	""
"4f3.(4I*).5d.6s2"	"5G*"	"3"	" 1.4104157"	""	"0.875"	"  59             :    23                         (4I*) 3G*            "	""
"4f3.(4I*).5d.6s2"	"5G*"	"4"	" 1.6262867"	""	"0.990"	"  48             :    31                         (4I*) 3H*            "	""
"4f3.(4I*).5d.6s2"	"5G*"	"5"	" 1.7229305"	""	"1.170"	"  55             :    14                         (4I*) 5H*            "	""
"4f3.(4I*).5d.6s2"	"5G*"	"6"	" 1.9514716"	""	"1.270"	"  67             :    15                         (4I*) 3H*            "	""
"4f4.(5I).5d.6s.(3D)"	"7G"	"5"	" "	""	""	"  67             :    19                         (5I)(3D) 5G          "	""
"4f4.(5I).5d.6s.(3D)"	"7G"	"7"	" "	""	""	"                                                                      "	""
"4f4.(5I).5d.6s.(3D)"	"7G"	"6"	" "	""	""	"                                                                      "	""
"4f4.(5I).5d.6s.(3D)"	"7G"	"1"	" 1.468194"	""	"-0.485"	" 100                                                                  "	""
"4f4.(5I).5d.6s.(3D)"	"7G"	"2"	" 1.486573"	""	"0.77"	"  90             :     7                         (5I)(3D) 5G          "	""
"4f4.(5I).5d.6s.(3D)"	"7G"	"3"	" 1.520651"	""	"1.080"	"  79             :    14                         (5I)(3D) 5G          "	""
"4f4.(5I).5d.6s.(3D)"	"7G"	"4"	" 1.5651982"	""	"1.060"	"  68             :    21                         (5I)(3D) 5G          "	""
"4f3.(4I*).5d.6s2"	"*"	"4"	" 1.4868666"	""	"0.960"	"  28  5G*        :    23                         (4I*) 5H*            "	""
"4f4.(5I).5d.6s.(3D)"	"5K"	"5"	" 1.4959694"	""	"0.715"	"  56             :    26                         (5I)(1D) 5K          "	""
"4f4.(5I).5d.6s.(3D)"	"5K"	"6"	" 1.6359925"	""	"0.935"	"  53             :    26                         (5I)(1D) 5K          "	""
"4f4.(5I).5d.6s.(3D)"	"5K"	"7"	" 1.7764007"	""	"1.070"	"  55             :    23                         (5I)(1D) 5K          "	""
"4f4.(5I).5d.6s.(3D)"	"5K"	"8"	" 1.9259656"	""	"1.160"	"  57             :    21                         (5I)(1D) 5K          "	""
"4f4.(5I).5d.6s.(3D)"	"5K"	"9"	" 2.0818505"	""	"1.230"	"  60             :    21                         (5I)(1D) 5K          "	""
"4f3.(4I*).5d2.(3F) (6I*).6s"	"7I*"	"7"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6I*).6s"	"7I*"	"9"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6I*).6s"	"7I*"	"6"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6I*).6s"	"7I*"	"8"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6I*).6s"	"7I*"	"3"	" 1.5336188"	""	"0.300"	"  89             :     8  4f3.(4I*)(3F) (4H*).6s 5H*                  "	""
"4f3.(4I*).5d2.(3F) (6I*).6s"	"7I*"	"4"	" 1.5967309"	""	"0.775"	"  84             :     5  4f3.(4I*)(3F) (4H*).6s 5H*                  "	""
"4f3.(4I*).5d2.(3F) (6I*).6s"	"7I*"	"5"	" 1.6913720"	""	"1.000"	"  79             :     7  4f3.(4I*)(3F) (4I*).6s 5I*                  "	""
"4f3.(4I*).5d.6s2"	"*"	"6"	" 1.5505159"	""	"1.020"	"  46  5I*        :    24                         (4I*) 3K*            "	""
"4f3.(4I*).5d2.(3F) (6M*).6s"	"5M*"	"11"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6M*).6s"	"5M*"	"10"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6M*).6s"	"5M*"	"9"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6M*).6s"	"5M*"	"7"	" 1.5785425"	""	"0.920"	"  86             :     5  4f3.(4I*)(3F) (6M*).6s 7M*                  "	""
"4f3.(4I*).5d2.(3F) (6M*).6s"	"5M*"	"8"	" 1.7936769"	""	"0.930"	"  83             :     6  4f3.(4I*)(3F) (6M*).6s 7M*                  "	""
"4f4.(5I).5d.6s.(3D)"	"5H"	"3"	" 1.5791767"	""	"0.695"	"  46             :    25                         (5I)(3D) 3G          "	""
"4f4.(5I).5d.6s.(3D)"	""	"4"	" 1.6139172"	""	"0.795"	"  37  5I         :    27                         (5I)(3D) 3H          "	""
"4f3.(4I*).5d.6s2"	"*"	"6"	" 1.6461159"	""	"0.990"	"  36  3K*        :    26                         (4I*) 5H*            "	""
"4f3.(4I*).5d2.(3F) (6H*).6s"	"7H*"	"8"	" "	""	""	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6H*).6s"	"7H*"	"2"	" 1.6888886"	""	"0.030"	"  88             :     8  4f3.(4I*)(3F) (4G*).6s 5G*                  "	""
"4f3.(4I*).5d2.(3F) (6H*).6s"	"7H*"	"3"	" 1.7027366"	""	"0.670"	"  78             :     6  4f3.(4I*)(3F) (4G*).6s 5G*                  "	""
"4f3.(4I*).5d2.(3F) (6H*).6s"	"7H*"	"4"	" 1.7336334"	""	"0.930"	"  70             :     9  4f3.(4I*)(3F) (4H*).6s 5H*                  "	""
"4f3.(4I*).5d2.(3F) (6H*).6s"	"7H*"	"5"	" 1.8198272"	""	"1.090"	"  43             :    16  4f3.(4I*)(3F) (6K*).6s 5K*                  "	""
"4f3.(4I*).5d2.(3F) (6H*).6s"	"7H*"	"6"	" 1.9339220"	""	"1.210"	"  41             :    13  4f3.(4I*)(3F) (4H*).6s 5H*                  "	""
"4f3.(4I*).5d2.(3F) (6H*).6s"	"7H*"	"7"	" 2.0763577"	""	"1.265"	"  24             :    20  4f3.(4I*)(3F) (6I*).6s 7I*                  "	""
"4f3.(4I*).5d.6s2"	"3G*"	"3"	" 1.6899494"	""	"0.775"	"  53             :    35                         (4I*) 5G*            "	""
"4f3.(4I*).5d.6s2"	"3G*"	"4"	" 2.0097640"	""	"1.055"	"  70             :    19                         (4I*) 5G*            "	""
"4f3.(4I*).5d.6s2"	"3G*"	"5"	" 2.2482668"	""	"1.190"	"  64             :     6                         (4I*) 5G*            "	""
"4f4.(5I).6s.6p.(3P*)"	"7K*"	"4"	" 1.6952175"	""	"0.440"	"                                                                      "	""
"4f4.(5I).6s.6p.(3P*)"	"7K*"	"5"	" 1.7744611"	""	"0.780"	"                                                                      "	""
"4f4.(5I).6s.6p.(3P*)"	"7K*"	"6"	" 1.8871393"	""	"0.985"	"                                                                      "	""
"4f4.(5I).6s.6p.(3P*)"	"7K*"	"7"	" 2.0188133"	""	"1.110"	"                                                                      "	""
"4f4.(5I).6s.6p.(3P*)"	"7K*"	"8"	" 2.1623214"	""	"1.190"	"                                                                      "	""
"4f4.(5I).6s.6p.(3P*)"	"7K*"	"9"	" 2.3197275"	""	"1.230"	"                                                                      "	""
"4f4.(5I).6s.6p.(3P*)"	"7K*"	"10"	" 2.4715611"	""	"1.290"	"                                                                      "	""
"4f4.(5I).5d.6s.(3D)"	""	"3"	" 1.7087304"	""	"0.710"	"  38  5G         :    23                         (5I)(3D) 5H          "	""
"4f4.(5I).5d.6s.(3D)"	"5I"	"5"	" 1.7509620"	""	"0.980"	"  47             :    23                         (5I)(1D) 5I          "	""
"4f4.(5I).6s.6p.(3P*)"	"7I*"	"3"	" 1.7901886"	""	"0.390"	"                                                                      "	""
"4f4.(5I).6s.6p.(3P*)"	"7I*"	"4"	" 1.8889718"	""	"0.745"	"                                                                      "	""
"4f4.(5I).6s.6p.(3P*)"	"7I*"	"5"	" 1.9373740"	""	"0.850"	"                                                                      "	""
"4f4.(5I).6s.6p.(3P*)"	"7I*"	"6"	" 2.0653817"	""	"1.050"	"                                                                      "	""
"4f4.(5I).6s.6p.(3P*)"	"7I*"	"7"	" 2.2115644"	""	"1.150"	"                                                                      "	""
"4f4.(5I).6s.6p.(3P*)"	"7I*"	"8"	" 2.3673461"	""	"1.200"	"                                                                      "	""
"4f4.(5I).6s.6p.(3P*)"	"7I*"	"9"	" 2.5445866"	""	"1.230"	"                                                                      "	""
"4f3.(4I*).5d.6s2"	"*"	"7"	" 1.8253153"	""	"1.160"	"  29  3I*        :    26                         (4I*) 5I*            "	""
"4f3.(4I*).5d2.(3F) (6K*).6s"	"5K*"	"5"	" 1.8346068"	""	"0.760"	"  52             :    15  4f3.(4I*)(3F) (6H*).6s 7H*                  "	""
"4f4.6s.6p"	"5H*"	"4"	" 1.8352073"	""	"0.825"	"                                                                      "	""
"4f3.(4I*).5d.6s2"	"3H*"	"5"	" 1.8738917"	""	"1.110"	"  48             :    31                         (4I*) 5G*            "	""
"4f4.6s.6p"	"7H*"	"2"	" 1.9071634"	""	"0.030"	"                                                                      "	""
"4f4.6s.6p"	"7H*"	"3"	" 1.9198568"	""	"0.690"	"                                                                      "	""
""	"5K*"	"5"	" 1.9245964"	""	"0.855"	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6G*).6s"	"7G*"	"4"	" 1.9341516"	""	"0.630"	"  55             :    22  4f3.(4I*)(3F) (4G*).6s 5G*                  "	""
""	"*"	"4"	" 1.9488736"	""	"0.755"	"                                                                      "	""
""	"*"	"6"	" 1.9565148"	""	"0.945"	"                                                                      "	""
"4f4.6s.6p"	"7H*"	"4"	" 1.9667689"	""	"1.020"	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (4H*).6s"	"*"	"3"	" 1.9712126"	""	"0.600"	"  27  5H*        :    21  4f3.(4I*)(3F) (6H*).6s 5H*                  "	""
