Configuration	Term	J	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
"4f4.(5I).6s"	"6I"	"7/2"	" 0.0000000"	""	"0.445"	"  98                or  :                  (5I<4>) (4,1/2) "	"L3974"
"4f4.(5I).6s"	"6I"	"9/2"	" 0.0636448"	""	"0.805"	"  70                or  :                  (5I<4>) (4,1/2) "	""
"4f4.(5I).6s"	"6I"	"11/2"	" 0.1822698"	""	"1.025"	"  80                or  :                  (5I<5>) (5,1/2) "	""
"4f4.(5I).6s"	"6I"	"13/2"	" 0.3205562"	""	"1.150"	"  87                or  :                  (5I<6>) (6,1/2) "	""
"4f4.(5I).6s"	"6I"	"15/2"	" 0.4713792"	""	"1.235"	"  93                or  :                  (5I<7>) (7,1/2) "	""
"4f4.(5I).6s"	"6I"	"17/2"	" 0.6305390"	""	"1.295"	"  97                or  :                  (5I<8>) (8,1/2) "	""
"4f4.(5I).6s"	"4I"	"9/2"	" 0.2045993"	""	"0.755"	"  70                or  :                  (5I<5>) (5,1/2) "	""
"4f4.(5I).6s"	"4I"	"11/2"	" 0.3802292"	""	"0.980"	"  80                or  :                  (5I<6>) (6,1/2) "	""
"4f4.(5I).6s"	"4I"	"13/2"	" 0.5594781"	""	"1.110"	"  87                or  :                  (5I<7>) (7,1/2) "	""
"4f4.(5I).6s"	"4I"	"15/2"	" 0.7421173"	""	"1.205"	"  92                or  :                  (5I<8>) (8,1/2) "	""
"4f4.(5I).5d"	"6L"	"11/2"	" 0.5501873"	""	"0.620"	"  96                    :     1            (3H4) 4K        "	""
"4f4.(5I).5d"	"6L"	"13/2"	" 0.6803825"	""	"0.850"	"  97                    :     1            (3H4) 4K        "	""
"4f4.(5I).5d"	"6L"	"15/2"	" 0.8229364"	""	"1.000"	"  98                    :     1            (5I) 6K         "	""
"4f4.(5I).5d"	"6L"	"17/2"	" 0.9756205"	""	"1.110"	"  98                    :     1            (3K2) 4M        "	""
"4f4.(5I).5d"	"6L"	"19/2"	" 1.1364652"	""	"1.180"	"  98                    :     1            (3K2) 4M        "	""
"4f4.(5I).5d"	"6L"	"21/2"	" 1.3039158"	""	"1.240"	"  97                    :     2            (3K2) 4M        "	""
"4f4.(5I).5d"	"6K"	"9/2"	" 0.7445586"	""	"0.550"	"  95                    :     2            (5I) 4I         "	""
"4f4.(5I).5d"	"6K"	"11/2"	" 0.8594337"	""	"0.840"	"  96                    :     1            (5I) 4I         "	""
"4f4.(5I).5d"	"6K"	"13/2"	" 0.9856837"	""	"1.015"	"  96                    :     1            (5I) 6I         "	""
"4f4.(5I).5d"	"6K"	"15/2"	" 1.1211594"	""	"1.130"	"  96                    :     1            (5I) 4L         "	""
"4f4.(5I).5d"	"6K"	"17/2"	" 1.2639947"	""	"1.200"	"  95                    :     2            (5I) 4L         "	""
"4f4.(5I).5d"	"6K"	"19/2"	" 1.4124515"	""	"1.250"	"  93                    :     3            (5I) 4L         "	""
"4f4.(5I).5d"	"6I"	"7/2"	" 0.9329482"	""	"0.480"	"  82                    :    13            (5I) 4H         "	""
"4f4.(5I).5d"	"6I"	"9/2"	" 1.0439866"	""	"0.840"	"  90                    :     6            (5I) 4H         "	""
"4f4.(5I).5d"	"6I"	"11/2"	" 1.1602330"	""	"1.035"	"  93                    :     1            (5G) 6I         "	""
"4f4.(5I).5d"	"6I"	"13/2"	" 1.2816371"	""	"1.140"	"  92                    :     2            (5I) 4K         "	""
"4f4.(5I).5d"	"6I"	"15/2"	" 1.4101312"	""	"1.230"	"  90                    :     4            (5I) 4K         "	""
"4f4.(5I).5d"	"6I"	"17/2"	" 1.5448425"	""	"1.280"	"  88                    :     5            (5I) 4K         "	""
"4f3.(4I*).5d2.(3F)"	"6M*"	"13/2"	" 0.9930899"	""	"0.675"	"  95                    :     1  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6M*"	"15/2"	" 1.1714256"	""	"0.865"	"  97                                                       "	""
"4f3.(4I*).5d2.(3F)"	"6M*"	"17/2"	" 1.3614135"	""	"0.990"	"  98                                                       "	""
"4f3.(4I*).5d2.(3F)"	"6M*"	"19/2"	" 1.5623007"	""	"1.090"	"  98                                                       "	""
"4f3.(4I*).5d2.(3F)"	"6M*"	"21/2"	" 1.7728866"	""	"1.160"	"  99                                                       "	""
"4f3.(4I*).5d2.(3F)"	"6M*"	"23/2"	" 1.9916927"	""	"1.220"	" 100                                                       "	""
"4f4.(5I).5d"	"6G"	"3/2"	" 1.0807014"	""	"0.010"	"  91                    :     5            (5F) 6G         "	""
"4f4.(5I).5d"	"6G"	"5/2"	" 1.0906103"	""	"0.760"	"  58                    :    30            (5I) 4G         "	""
"4f4.(5I).5d"	"6G"	"7/2"	" 1.1404556"	""	"0.925"	"  40                    :    26            (5I) 4H         "	""
"4f4.(5I).5d"	"6G"	"9/2"	" 1.3493510"	""	"1.140"	"  43                    :    23            (5I) 4H         "	""
"4f4.(5I).5d"	"6G"	"11/2"	" 1.4904562"	""	"1.157"	"  40                    :    19            (5I) 6H         "	""
"4f4.(5I).5d"	"6G"	"13/2"	" 1.5292496"	""	"1.325"	"  52                    :    22            (5I) 4H         "	""
"4f4.(5I).5d"	"6H"	"5/2"	" 1.1995267"	""	"0.455"	"  57                    :    21            (5I) 6G         "	""
"4f4.(5I).5d"	"6H"	"7/2"	" 1.3225122"	""	"0.845"	"  61                    :    12            (5I) 4G         "	""
"4f4.(5I).5d"	"6H"	"9/2"	" 1.4518072"	""	"1.050"	"  66                    :    13            (5I) 4H         "	""
"4f4.(5I).5d"	"6H"	"11/2"	" 1.5977949"	""	"1.165"	"  50                    :    25            (5I) 4H         "	""
"4f4.(5I).5d"	"6H"	"13/2"	" 1.6488510"	""	"1.285"	"  46                    :    30            (5I) 6G         "	""
"4f4.(5I).5d"	"6H"	"15/2"	" 1.7955354"	""	"1.333"	"  91                    :     3            (5I) 4I         "	""
"4f4.(5I).5d"	""	"9/2"	" 1.2246124"	""	"1.096"	"  34  6G                :    33            (5I) 4H         "	""
"4f4.(5I).5d"	""	"7/2"	" 1.2285154"	""	"0.850"	"  36  4H                :    29            (5I) 6G         "	""
"4f3.(4I*).5d (5K*).6s"	"6L*"	"11/2"	" 1.2465613"	""	"0.620"	"  92                                                       "	""
"4f3.(4I*).5d (5K*).6s"	"6L*"	"13/2"	" 1.3383214"	""	"0.825"	"  61                                                       "	""
"4f3.(4I*).5d (5K*).6s"	"6L*"	"13/2"	" 1.4913390"	""	"0.825"	"  31                                                       "	""
"4f3.(4I*).5d (5K*).6s"	"6L*"	"15/2"	" 1.5201213"	""	"0.990"	"  71                                                       "	""
"4f3.(4I*).5d (5K*).6s"	"6L*"	"17/2"	" 1.7248211"	""	"1.100"	"  80                                                       "	""
"4f3.(4I*).5d (5K*).6s"	"6L*"	"19/2"	" 1.9450399"	""	"1.180"	"  88                                                       "	""
"4f3.(4I*).5d (5K*).6s"	"6L*"	"21/2"	" 2.1764351"	""	"1.240"	"  96                                                       "	""
"4f3.(4I*).5d (5K*).6s"	"6K*"	"9/2"	" 1.2511692"	""	"0.565"	"  89                                                       "	""
"4f3.(4I*).5d (5K*).6s"	"6K*"	"11/2"	" 1.3291472"	""	"0.775"	"  38                                                       "	""
