Configuration	Term	J	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
"4f3.(4I*).5d (5K*).6s"	"6K*"	"13/2"	" 1.5024907"	""	"0.980"	"  49                                                       "	""
"4f3.(4I*).5d (5K*).6s"	"6K*"	"15/2"	" 1.6882532"	""	"1.120"	"  79                                                       "	""
"4f3.(4I*).5d (5K*).6s"	"6K*"	"17/2"	" 1.8815978"	""	"1.200"	"  87                                                       "	""
"4f3.(4I*).5d (5K*).6s"	"6K*"	"19/2"	" 2.0842134"	""	"1.255"	"  91                                                       "	""
"4f4.(5F).6s"	"6F"	"1/2"	" 1.2715869"	""	"-0.650"	"  96                    :     3            (3D1) 4D        "	""
"4f4.(5F).6s"	"6F"	"3/2"	" 1.2942989"	""	"1.060"	"  92                    :     4            (5F) 4F         "	""
"4f4.(5F).6s"	"6F"	"5/2"	" 1.3373897"	""	"1.300"	"  88                    :     6            (5F) 4F         "	""
"4f4.(5F).6s"	"6F"	"7/2"	" 1.4106383"	""	"1.390"	"  91                    :     5            (5F) 4F         "	""
"4f4.(5F).6s"	"6F"	"9/2"	" 1.4986162"	""	"1.430"	"  91                    :     3            (5F) 4F         "	""
"4f4.(5F).6s"	"6F"	"11/2"	" 1.6178215"	""	"1.450"	"  94                    :     3            (3G2) 4G        "	""
"4f4.(5I).5d"	"4G"	"5/2"	" 1.3498463"	""	"0.520"	"  43                    :    35            (5I) 6H         "	""
"4f4.(5I).5d"	"4G"	"7/2"	" 1.5153572"	""	"0.957"	"  57                    :    15            (5I) 6H         "	""
"4f4.(5I).5d"	"4G"	"9/2"	" 1.6990082"	""	"1.110"	"  57                    :    10            (5I) 4H         "	""
"4f4.(5I).5d"	"4G"	"11/2"	" 1.8781126"	""	"1.230"	"  67                    :     8            (5I) 4H         "	""
"4f4.(5I).5d"	""	"11/2"	" 1.3566345"	""	"1.230"	"  39  6G                :    31            (5I) 4H         "	""
"4f3.(4I*).5d2.(3F)"	"6L*"	"11/2"	" 1.3747077"	""	"0.690"	"  59                    :    36  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6L*"	"13/2"	" 1.5283569"	""	"0.865"	"  55                    :    39  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6L*"	"15/2"	" 1.6681119"	""	"1.000"	"  75                    :    12  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6L*"	"17/2"	" 1.8479696"	""	"1.100"	"  78                    :     7  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6L*"	"19/2"	" 2.0435311"	""	"1.180"	"  81                    :     5  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6L*"	"21/2"	" 2.2517303"	""	"1.230"	"  92                    :     2  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6K*"	"9/2"	" 1.4022966"	""	"0.585"	"  77                    :     4  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6K*"	"11/2"	" 1.5487213"	""	"0.840"	"  46                    :    36  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6K*"	"13/2"	" 1.6880653"	""	"1.005"	"  76                    :    10  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6K*"	"15/2"	" 1.8466467"	""	"1.110"	"  76                    :     7  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6K*"	"17/2"	" 2.0241170"	""	"1.190"	"  75                    :     4  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6K*"	"19/2"	" 2.2179143"	""	"1.230"	"  81                    :     4  4f4.5d.6s                 "	""
"4f4.(5F).6s"	"4F"	"3/2"	" 1.4184691"	""	"0.430"	"  92                    :     3            (5F) 6F         "	""
"4f4.(5F).6s"	"4F"	"5/2"	" 1.4991140"	""	"1.055"	"  88                    :     6            (5F) 6F         "	""
"4f4.(5F).6s"	"4F"	"7/2"	" 1.5967987"	""	"1.230"	"  88                    :     4            (5F) 6F         "	""
"4f4.(5F).6s"	"4F"	"9/2"	" 1.7322589"	""	"1.325"	"  91                    :     3            (5F) 6F         "	""
"4f4.(5I).5d"	"4L"	"13/2"	" 1.4358443"	""	"0.805"	"  84                    :     5            (3K2) 4L        "	""
"4f4.(5I).5d"	"4L"	"15/2"	" 1.6002101"	""	"0.970"	"  84                    :     5            (3K2) 4L        "	""
"4f4.(5I).5d"	"4L"	"17/2"	" 1.7731978"	""	"1.074"	"  82                    :     5            (3K2) 4L        "	""
"4f4.(5I).5d"	"4L"	"19/2"	" 1.9526538"	""	"1.160"	"  80                    :     5            (5I) 6K         "	""
"4f4.(5S).6s"	"6S"	"5/2"	" 1.4566693"	""	"1.980"	"  94                    :     4            (3P2) 4P        "	""
"4f3.(4I*).5d2.(3F)"	"6I*"	"7/2"	" 1.5166603"	""	"0.520"	"  49                    :    25  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6I*"	"11/2"	" 1.7478902"	""	"1.005"	"  32                    :    33  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6I*"	"15/2"	" 2.0705355"	""	"1.210"	"  60                    :     5  4f4.5d.6s                 "	""
"4f3.(4I*).5d2.(3F)"	"6I*"	"17/2"	" 2.2529671"	""	"1.260"	"  60                    :    20  4f4.5d.6s                 "	""
"4f4.(5I).5d"	"4K"	"11/2"	" 1.5220567"	""	"0.870"	"  67                    :    14            (5I) 6H         "	""
"4f4.(5I).5d"	"4K"	"13/2"	" 1.6859204"	""	"1.010"	"  68                    :    11            (5I) 6H         "	""
"4f4.(5I).5d"	"4K"	"15/2"	" 1.8545060"	""	"1.090"	"  52                    :    20  (3K2).6s  4K              "	""
"4f4.(5I).5d"	"4K"	"17/2"	" 2.0204130"	""	"1.170"	"  46                    :    20  (5I).5d   4K              "	""
"4f3.5d.6s"	"*"	"11/2"	" 1.5288919"	""	"0.790"	"  39                    :     4  4f3.5d2   6K              "	""
"4f4.(5S).6s"	"4S"	"3/2"	" 1.5805022"	""	"1.980"	"  95                    :     3            (3P2) 2P        "	""
"4f3.5d.6s"	"6I*"	"7/2"	" 1.5946128"	""	"0.470"	"  67                                                       "	""
"4f3.5d.6s"	"6I*"	"11/2"	" 1.7810312"	""	"1.005"	"  41                                                       "	""
"4f3.5d.6s"	"6I*"	"13/2"	" 1.8969179"	""	"1.095"	"  31                                                       "	""
"4f3.5d.6s"	"6I*"	"15/2"	" 2.2970962"	""	"1.150"	"  23                                                       "	""
"4f3.5d.6s"	"6I*"	"17/2"	" 2.3014251"	""	"1.230"	"  53                                                       "	""
"4f2.(4I*).5d (5K*).6s"	"6I*"	"9/2"	" 1.6196887"	""	"0.805"	"  53                                                       "	""
"4f4.(5I).5d"	"4I"	"9/2"	" 1.6423158"	""	"0.815"	"  66                    :    12            (5I) 4G         "	""
"4f4.(5I).5d"	"4I"	"11/2"	" 1.8132410"	""	"1.008"	"  66                    :     8            (5I) 4G         "	""
"4f4.(5I).5d"	"4I"	"13/2"	" 1.9742326"	""	"1.115"	"  69                    :    12            (5I) 4H         "	""
"4f4.(5I).5d"	"4I"	"15/2"	" 2.1079204"	""	"1.195"	"  76                    :     2            (5I) 4K         "	""
"4f3.5d.6s"	"*"	"9/2"	" 1.6815214"	""	"0.820"	"  50                    :    38  4f3.5d2   6I              "	""
""	"*"	"11/2"	" 1.6998506"	""	"0.860"	"                                                           "	""
"4f3.5d.6s"	"6H*"	"5/2"	" 1.7115045"	""	"0.360"	"  49                                                       "	""
"4f3.5d.6s"	"6H*"	"9/2"	" 1.8614008"	""	"0.945"	"  32                                                       "	""
"4f3.5d.6s"	"6H*"	"11/2"	" 2.0446160"	""	"1.105"	"  29                                                       "	""
"4f3.5d.6s"	"6H*"	"13/2"	" 2.2510621"	""	"1.155"	"  40                                                       "	""
"4f3.5d.6s"	"*"	"9/2"	" 1.7217655"	""	"0.775"	"  39                    :    29  4f3.5d2   6I              "	""
"4f4.(3K2).6s"	"4K"	"11/2"	" 1.7419532"	""	"0.767"	"  76                    :    21            (3K1) 4K        "	""
"4f4.(3K2).6s"	"4K"	"13/2"	" 1.7838103"	""	"0.953"	"  51                    :    16            (3K2) 2K        "	""
"4f4.(3K2).6s"	"4K"	"15/2"	" 1.9041437"	""	"1.073"	"  40                    :    25  (5I).5d   4K              "	""
"4f4.(3K2).6s"	"4K"	"17/2"	" 2.0594457"	""	"1.170"	"  57                    :    16  (3K2).6s  4K              "	""
"4f3.5d2"	"6I*"	"7/2"	" 1.7453900"	""	"0.705"	"  22                    :    25  4f4.5d.6s                 "	""
"4f3.5d2"	"6I*"	"13/2"	" 1.9211674"	""	"1.125"	"  50                    :    14  4f4.5d.6s                 "	""
"4f3.5d.6s"	"4K*"	"13/2"	" 1.7469547"	""	"0.950"	"  26                                                       "	""
"4f3.5d.6s"	"4L*"	"15/2"	" 1.7519035"	""	"0.975"	"  26                                                       "	""
"4f3.5d.6s"	"4L*"	"17/2"	" 1.9999705"	""	"1.085"	"  30                                                       "	""
"4f3.5d.6s"	"4L*"	"19/2"	" 2.2623006"	""	"1.165"	"  33                                                       "	""
"4f4.(5I).5d"	""	"13/2"	" 1.7679378"	""	"1.223"	"  43  4H                :    24            (5I) 6H         "	""
""	"*"	"9/2"	" 1.7708177"	""	"0.820"	"                                                           "	""
"4f3.5d.6s"	"6H*"	"7/2"	" 1.7764785"	""	"0.795"	"  50                                                       "	""
"4f3.5d2"	"6H*"	"5/2"	" 1.7962620"	""	"0.320"	"  62                                                       "	""
"4f3.5d.6s"	"4I*"	"9/2"	" 1.8403650"	""	"0.865"	"  34                                                       "	""
"4f3.5d.6s"	"4I*"	"13/2"	" 2.1075008"	""	"1.07"	"  10                                                       "	""
"4f3.5d.6s"	"4I*"	"13/2"	" 2.3697869"	""	"1.085"	"  28                                                       "	""
"4f3.5d.6s"	"2I*"	"11/2"	" 1.8595045"	""	"0.935"	"  26                                                       "	""
"4f3.5d.6s"	"2I*"	"11/2"	" 2.1309003"	""	"0.925"	"  17                                                       "	""
"4f3.5d2"	"4L*"	"13/2"	" 1.8765244"	""	"0.875"	"  32                                                       "	""
"4f3.5d2"	"4L*"	"15/2"	" 2.0879286"	""	"1.040"	"  34                                                       "	""
"4f3.5d2"	"4L*"	"17/2"	" 2.3366496"	""	""	"  38                                                       "	""
"4f3.5d.6s"	"*"	"11/2"	" 1.8770724"	""	"1.000"	"  38                    :    44  4f3.5d2   6I              "	""
"4f3.5d.6s"	"*"	"5/2"	" 1.8854531"	""	"0.575"	"  57                    :    20  4f3.5d2   4G              "	""
"4f3.5d2"	"6H*"	"7/2"	" 1.9026442"	""	"0.820"	"  48                                                       "	""
"4f4.(3K2).6s"	"2K"	"13/2"	" 1.9115003"	""	"0.920"	"  53                    :    15            (3K1) 2K        "	""
"4f4.(3K2).6s"	"2K"	"15/2"	" 2.0914566"	""	"1.045"	"  52                    :    12            (3K1) 2K        "	""
"4f3.5d.6s"	"6G*"	"3/2"	" 1.9118549"	""	"0.010"	"  90                                                       "	""
"4f3.5d.6s"	"6G*"	"5/2"	" 1.9362234"	""	"0.770"	"  55                                                       "	""
"4f3.5d.6s"	"6G*"	"7/2"	" 1.9561477"	""	"1.010"	"  47                                                       "	""
"4f3.5d.6s"	"6G*"	"7/2"	" 2.2051217"	""	"1.005"	"  26                                                       "	""
"4f3.5d.6s"	"6G*"	"11/2"	" 2.2128706"	""	"1.230"	"  41                                                       "	""
"4f3.5d2"	"6H*"	"9/2"	" 1.9208556"	""	"0.975"	"   4                                                       "	""
"4f3.5d2"	"6H*"	"11/2"	" 2.0131395"	""	"0.935"	"  22                                                       "	""
"4f3.5d2"	"6H*"	"11/2"	" 2.0681240"	""	"1.080"	"  25                                                       "	""
"4f3.5d2"	"6H*"	"11/2"	" 2.6664705"	""	"1.080"	"  44                                                       "	""
"4f3.5d.6s"	"4K*"	"15/2"	" 1.9792447"	""	"1.075"	"  26                                                       "	""
"4f3.5d.6s"	"4K*"	"17/2"	" 2.2246454"	""	"1.190"	"  26                                                       "	""
""	"*"	"15/2"	" 1.9977757"	""	"1.130"	"                                                           "	""
"4f3.5d.6s"	"4H*"	"7/2"	" 2.0016765"	""	"0.855"	"  19                                                       "	""
"4f3.5d.6s"	"6G*"	"9/2"	" 2.0076482"	""	"1.090"	"  23                                                       "	""
"4f3.5d2"	"6K*"	"9/2"	" 2.0301284"	""	"0.620"	"  93                    :     1  4f4.5d.6s                 "	""
"4f3.5d2"	"6K*"	"11/2"	" 2.1828639"	""	"0.855"	"  78                    :    12  4f4.5d.6s                 "	""
"4f3.5d2"	"6K*"	"13/2"	" 2.3255865"	""	"1.030"	"  69                    :    24  4f4.5d.6s                 "	""
"4f3.5d2"	"6K*"	"15/2"	" 2.4419612"	""	"1.110"	"  48                    :    31  4f4.5d.6s                 "	""
"4f3.5d2"	"6G*"	"3/2"	" 2.0468179"	""	"0.150"	"  72                                                       "	""
"4f3.5d2"	"6G*"	"5/2"	" 2.0672288"	""	"0.885"	"  35                                                       "	""
"4f3.5d2"	"6G*"	"7/2"	" 2.1041718"	""	"0.995"	"  27                                                       "	""
"4f3.5d2"	"6G*"	"11/2"	" 2.2766270"	""	"1.175"	"  13                                                       "	""
"4f3.5d2"	"6G*"	"13/2"	" 2.5284612"	""	"1.242"	"  43                                                       "	""
"4f3.5d2"	"*"	"9/2"	" 2.0538609"	""	"0.885"	"  41                    :    14  4f3.5d.6s 4H              "	""
"4f3.5d.6s"	"6I*"	"13/2"	" 2.0545105"	""	"1.150"	"  29                                                       "	""
"4f3.5d2"	"*"	"7/2"	" 2.0658470"	""	"0.900"	"  43                    :    20  4f3.5d.6s 4H              "	""
"4f3.5d.6s"	"*"	"9/2"	" 2.0848135"	""	"0.960"	"  24                    :    19  4f3.5d2   2H              "	""
"4f3.5d2"	"4K*"	"11/2"	" 2.0850708"	""	"0.870"	"  50                                                       "	""
"4f3.5d2"	"*"	"5/2"	" 2.0991566"	""	"1.045"	"                                                           "	""
"4f3.5d2"	"*"	"3/2"	" 2.1021831"	""	""	"                                                           "	""
"4f3.5d2"	"4H*"	"7/2"	" 2.1326875"	""	"0.825"	"  28                                                       "	""
""	"*"	"9/2"	" 2.1519750"	""	"1.045"	"                                                           "	""
""	"*"	"13/2"	" 2.1654231"	""	"1.045"	"  22  4f3.5d2 6H        :    38  4f3.5d.6s                 "	""
""	"4K*"	"17/2"	" 2.1752463"	""	"1.205"	"                                                           "	""
"4f3.5d2"	"*"	"9/2"	" 2.2155363"	""	"0.915"	"                                                           "	""
"4f3.5d2"	"6H*"	"13/2"	" 2.2326994"	""	"1.205"	"  30                                                       "	""
"4f3.5d.6s"	"4G*"	"9/2"	" 2.2371579"	""	"1.160"	"  18                                                       "	""
"4f3.5d2"	"*"	"7/2"	" 2.2467059"	""	"1.075"	"  40                    :    14  4f3.5d.6s 4G              "	""
"4f3.5d2"	"*"	"5/2"	" 2.2756791"	""	"0.340"	"                                                           "	""
"4f3.5d2"	"*"	"5/2"	" 2.2875525"	""	""	"                                                           "	""
"4f3.5d.6s"	"*"	"11/2"	" 2.3191870"	""	"1.110"	"  50                    :    18  4f3.5d2   4H              "	""
"4f3.5d2"	"6K*"	"9/2"	" 2.3347712"	""	"1.090"	"  42                    :    15  4f3.5d.6s 4H              "	""
"4f3.5d2"	"*"	"7/2"	" 2.3589302"	""	"0.985"	"                                                           "	""
"4f3.5d2"	"6H*"	"15/2"	" 2.3844926"	""	"1.235"	"  33                                                       "	""
"4f3.5d2"	"*"	"9/2"	" 2.4183521"	""	""	"                                                           "	""
"4f3.5d.6s"	"*"	"9/2"	" 2.4423189"	""	"1.145"	"                                                           "	""
""	"*"	"11/2"	" 2.4428619"	""	"0.965"	"                                                           "	""
"4f3.5d2"	"*"	"9/2"	" 2.4497467"	""	"1.060"	"                                                           "	""
"4f3.5d2"	"*"	"11/2"	" 2.4836093"	""	""	"                                                           "	""
"4f3.5d.6s"	"4G*"	"9/2"	" 2.4869358"	""	"1.152"	"  29                                                       "	""
"4f3.5d.6s"	"6K*"	"15/2"	" 2.5166077"	""	"1.152"	"  54                    :    35  4f3.5d2   4M              "	""
""	"*"	"11/2"	" 2.5562802"	""	"1.175"	"  29  4f3.5d2 6F        :    43  4f3.5d.6s                 "	""
""	"*"	"13/2"	" 2.5598937"	""	"1.153"	"  73  4f3.5d2 6I        :     8  4f3.5d.6s                 "	""
"4f3.5d2"	"4I*"	"9/2"	" 2.5630726"	""	"0.780"	"                                                           "	""
"4f3.5d2"	"4H*"	"7/2"	" 2.5825946"	""	"0.690"	"                                                           "	""
"4f3.5d2"	"4K*"	"11/2"	" 2.5921773"	""	"0.890"	"  31                                                       "	""
"4f3.5d2"	"*"	"9/2"	" 2.6099411"	""	"1.070"	"                                                           "	""
"4f3.5d.6s"	"6H*"	"5/2"	" 2.6335577"	""	"0.310"	"  74                                                       "	""
""	"*"	"7/2"	" 2.6398399"	""	"0.825"	"                                                           "	""
"4f3.5d2"	"*"	"7/2"	" 2.6546567"	""	"0.895"	"                                                           "	""
"4f3.5d2"	"6K*"	"17/2"	" 2.6941215"	""	"1.195"	"  65                                                       "	""
""	"*"	"13/2"	" 2.7116014"	""	"1.095"	"                                                           "	""
""	"*"	"7/2"	" 2.7117216"	""	"0.630"	"                                                           "	""
""	"4H*"	"9/2"	" 2.7174919"	""	"0.940"	"                                                           "	""
""	"*"	"9/2"	" 2.7509180"	""	"0.980"	"                                                           "	""
""	"*"	"11/2"	" 2.7540294"	""	"1.195"	"                                                           "	""
""	"*"	"9/2"	" 2.7720468"	""	"1.080"	"                                                           "	""
""	"*"	"7/2"	" 2.7759864"	""	"0.755"	"                                                           "	""
""	"*"	"9/2"	" 2.7841414"	""	"1.000"	"                                                           "	""
"4f3.5d2"	"4K*"	"13/2"	" 2.7993357"	""	"0.995"	"  37                                                       "	""
""	"*"	"9/2"	" 2.8099419"	""	"0.870"	"                                                           "	""
"4f3.5d2"	"4I*"	"11/2"	" 2.8140532"	""	"0.965"	"                                                           "	""
""	"*"	"7/2"	" 2.8331065"	""	"0.755"	"                                                           "	""
""	"*"	"11/2"	" 2.8674365"	""	"1.105"	"                                                           "	""
""	"*"	"11/2"	" 2.8714703"	""	"1.065"	"                                                           "	""
"4f3.5d.6s"	"*"	"9/2"	" 2.8728515"	""	"1.080"	"                                                           "	""
""	"*"	"7/2"	" 2.8761573"	""	"1.015"	"                                                           "	""
"4f4.(5I).6p"	"6K*"	"9/2"	" 2.8801504"	""	"0.780"	"                                                           "	""
"4f4.(5I).6p"	"6K*"	"11/2"	" 3.0308408"	""	"0.915"	"                                                           "	""
"4f4.(5I).6p"	"6K*"	"13/2"	" 3.1646310"	""	"1.030"	"                                                           "	""
"4f4.(5I).6p"	"6K*"	"15/2"	" 3.3367576"	""	"1.130"	"                                                           "	""
"4f4.(5I).6p"	"6K*"	"17/2"	" 3.5235032"	""	"1.200"	"                                                           "	""
"4f4.(5I).6p"	"6K*"	"19/2"	" 3.7198124"	""	"1.260"	"                                                           "	""
"4f3.5d2"	"6K*"	"19/2"	" 2.8878970"	""	"1.245"	"  91                                                       "	""
""	"*"	"11/2"	" 2.8985416"	""	"1.035"	"                                                           "	""
""	"*"	"7/2"	" 2.9009035"	""	"0.845"	"                                                           "	""
""	"*"	"9/2"	" 2.9024100"	""	"1.010"	"                                                           "	""
""	"*"	"11/2"	" 2.9085385"	""	"1.030"	"                                                           "	""
"4f3.5d.6s"	"*"	"15/2"	" 2.9115606"	""	"1.215"	"                                                           "	""
""	"*"	"9/2"	" 2.9182632"	""	"0.945"	"                                                           "	""
""	"*"	"7/2"	" 2.9305823"	""	"1.130"	"                                                           "	""
""	"*"	"5/2"	" 2.9392550"	""	"0.785"	"                                                           "	""
"4f3.5d2"	"*"	"15/2"	" 2.9430706"	""	"1.060"	"                                                           "	""
""	"*"	"9/2"	" 2.9472321"	""	"1.010"	"                                                           "	""
""	"*"	"13/2"	" 2.9510954"	""	"1.075"	"                                                           "	""
""	"*"	"11/2"	" 2.9579226"	""	"1.010"	"                                                           "	""
""	"*"	"13/2"	" 2.9745551"	""	"1.070"	"                                                           "	""
""	"*"	"9/2"	" 2.9760795"	""	"1.050"	"                                                           "	""
""	"*"	"9/2"	" 2.9822341"	""	"0.965"	"                                                           "	""
""	"*"	"7/2"	" 2.9917759"	""	"1.194"	"                                                           "	""
""	"*"	"11/2"	" 2.9922446"	""	"1.020"	"                                                           "	""
""	"*"	"13/2"	" 3.0057756"	""	"1.165"	"                                                           "	""
