!ION
Kr02
!MOLECULAR WEIGHT
 83.8
!NUMBER OF ENERGY LEVELS
31
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    1  0.00000000E+00  1.0  0.0
    2  1.04672973E+08  3.0  1.0
    3  1.05030401E+08  1.0  0.0
    4  1.05052959E+08  3.0  1.0
    5  1.05061854E+08  1.0  0.0
    6  1.05574187E+08  5.0  2.0
    7  1.05768395E+08  3.0  1.0
    8  1.24164110E+08  3.0  1.0
    9  1.24262454E+08  1.0  0.0
   10  1.24266302E+08  1.0  0.0
   11  1.24268634E+08  3.0  1.0
   12  1.24424184E+08  5.0  2.0
   13  1.24472634E+08  5.0  2.0
   14  1.24475295E+08  3.0  1.0
   15  1.24477039E+08  3.0  1.0
   16  1.24526579E+08  7.0  3.0
   17  1.24531103E+08  5.0  2.0
   18  1.30917769E+08  3.0  1.0
   19  1.30958153E+08  1.0  0.0
   20  1.30959096E+08  1.0  0.0
   21  1.30960693E+08  3.0  1.0
   22  1.31026339E+08  5.0  2.0
   23  1.31046278E+08  5.0  2.0
   24  1.31047254E+08  3.0  1.0
   25  1.31047981E+08  3.0  1.0
   26  1.31068938E+08  7.0  3.0
   27  1.31070483E+08  7.0  3.0
   28  1.31071093E+08  5.0  2.0
   29  1.31071230E+08  5.0  2.0
   30  1.31082010E+08  9.0  4.0
   31  1.31082583E+08  7.0  3.0
!NUMBER OF RADIATIVE TRANSITIONS
231
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
   62   16    2  1.1286E+11  5.95608311E+08  2.85647444E+07
   63   16    6  9.9626E+13  5.68571721E+08  2.72680982E+07
   64   17    2  4.2766E+10  5.95743813E+08  2.85712429E+07
   65   17    4  1.7141E+12  5.84344295E+08  2.80245341E+07
   66   17    5  6.3611E+10  5.84077407E+08  2.80117344E+07
   67   17    6  9.4338E+12  5.68707464E+08  2.72746082E+07
   68   17    7  8.5984E+13  5.62881157E+08  2.69951847E+07
   69   18    3  4.9775E+11  7.76621134E+08  3.72459279E+07
   70   18    4  1.1778E+12  7.75944354E+08  3.72134702E+07
   71   18    6  2.7330E+12  7.60307523E+08  3.64635443E+07
   72   18    7  3.3006E+11  7.54481216E+08  3.61841208E+07
   73   19    2  1.5341E+13  7.88555397E+08  3.78182825E+07
   74   19    6  1.8697E+10  7.61519048E+08  3.65216478E+07
   75   20    4  8.2990E+11  7.77184190E+08  3.72729314E+07
   76   20    7  3.7991E+12  7.55721052E+08  3.62435820E+07
   77   21    2  1.2065E+13  7.88631616E+08  3.78219379E+07
   78   21    5  3.1255E+12  7.76965210E+08  3.72624294E+07
   79   21    6  1.1101E+10  7.61595268E+08  3.65253032E+07
   80   21    7  6.6804E+09  7.55768961E+08  3.62458797E+07
   81   22    2  1.4826E+13  7.90600980E+08  3.79163865E+07
   82   22    3  4.0323E+09  7.79878243E+08  3.74021353E+07
   83   22    4  7.3147E+09  7.79201463E+08  3.73696777E+07
   84   22    6  6.7108E+09  7.63564632E+08  3.66197518E+07
   85   22    7  1.6780E+09  7.57738325E+08  3.63403283E+07
   86   23    2  8.0516E+09  7.91199121E+08  3.79450727E+07
   87   23    4  2.5776E+13  7.79799603E+08  3.73983639E+07
   88   23    5  4.3974E+09  7.79532715E+08  3.73855642E+07
   89   23    6  4.8600E+12  7.64162772E+08  3.66484380E+07
   90   23    7  1.7220E+12  7.58336465E+08  3.63690145E+07
   91   24    2  1.2790E+10  7.91228398E+08  3.79464768E+07
   92   24    3  1.8265E+13  7.80505661E+08  3.74322257E+07
   93   24    4  1.0966E+13  7.79828881E+08  3.73997680E+07
   94   24    6  8.5320E+11  7.64192050E+08  3.66498422E+07
   95   24    7  2.5060E+12  7.58365743E+08  3.63704186E+07
   96   25    2  3.1013E+12  7.91250175E+08  3.79475212E+07
   97   25    4  7.2608E+09  7.79850658E+08  3.74008124E+07
   98   25    5  1.1261E+13  7.79583770E+08  3.73880127E+07
   99   25    6  3.0557E+09  7.64213827E+08  3.66508866E+07
  100   25    7  8.8129E+09  7.58387520E+08  3.63714630E+07
  101   26    2  1.3658E+10  7.91879046E+08  3.79776812E+07
  102   26    6  3.1785E+13  7.64842456E+08  3.66810349E+07
  103   27    2  1.7626E+08  7.91925261E+08  3.79798976E+07
  104   27    4  8.1995E+10  7.80525744E+08  3.74331888E+07
  105   27    6  2.1956E+10  7.64888913E+08  3.66832630E+07
  106   27    7  1.0465E+10  7.59062606E+08  3.64038394E+07
  107   28    2  5.0845E+09  7.91943651E+08  3.79807796E+07
  108   28    4  4.7934E+11  7.80544134E+08  3.74340708E+07
  109   28    5  7.9645E+09  7.80277245E+08  3.74212711E+07
  110   28    6  2.9539E+12  7.64907303E+08  3.66841449E+07
  111   28    7  2.7743E+13  7.59080996E+08  3.64047214E+07
  112   29    3  5.4159E+10  7.81224785E+08  3.74667141E+07
  113   29    4  4.3635E+10  7.80548247E+08  3.74342681E+07
  114   29    6  7.7270E+09  7.64911416E+08  3.66843422E+07
  115   29    7  1.0635E+10  7.59085109E+08  3.64049187E+07
  116   30    6  1.1655E+11  7.65234683E+08  3.66998457E+07
  117   31    2  1.3445E+08  7.92288211E+08  3.79973043E+07
  118   31    4  2.6569E+09  7.80888694E+08  3.74505955E+07
  119   31    6  1.6755E+10  7.65251863E+08  3.67006696E+07
  120   31    7  9.3755E+10  7.59425556E+08  3.64212461E+07
  121    9    8  8.1669E+07  2.95029286E+06  1.41492924E+05
  122   10    8  3.6197E+01  3.06575919E+06  1.47030567E+05
  123   11    8  7.7436E+07  3.13572617E+06  1.50386109E+05
  124   12    8  1.5379E+09  7.80220867E+06  3.74185672E+05
  125   13   11  4.4452E+08  6.11997900E+06  2.93507717E+05
  126   13   12  1.1641E+06  1.45349577E+06  6.97081191E+04
  127   14    9  3.5460E+08  6.38525393E+06  3.06230022E+05
  128   14   11  1.9418E+08  6.19982062E+06  2.97336837E+05
  129   14   12  2.3798E+05  1.53333860E+06  7.35372970E+04
  130   15    8  5.5882E+08  9.38787200E+06  4.50232408E+05
  131   15   10  6.4663E+08  6.32211524E+06  3.03201957E+05
  132   16   12  7.1486E+07  3.07187125E+06  1.47323695E+05
  133   17   11  1.5843E+07  7.87405815E+06  3.77631497E+05
  134   17   12  7.7023E+06  3.20757564E+06  1.53831934E+05
  135   17   15  9.3876E+06  1.62191255E+06  7.77852098E+04
  136   18    9  3.4399E+11  1.99659473E+08  9.57545706E+06
  137   18   11  8.1332E+11  1.99474030E+08  9.56656341E+06
  138   18   12  1.9139E+12  1.94807564E+08  9.34276466E+06
  139   18   13  4.1686E+08  1.93354073E+08  9.27305673E+06
  140   18   14  4.0489E+08  1.93274224E+08  9.26922727E+06
  141   18   15  2.4206E+11  1.93221886E+08  9.26671722E+06
  142   18   16  9.4560E+08  1.91735681E+08  9.19544038E+06
  143   19    8  4.7936E+12  2.03821269E+08  9.77505241E+06
  144   19   12  4.8873E+09  1.96019065E+08  9.40086697E+06
  145   19   14  6.3966E+11  1.94485725E+08  9.32732958E+06
  146   20   11  6.1218E+11  2.00713865E+08  9.62602460E+06
  147   20   13  7.8814E+08  1.94593884E+08  9.33251677E+06
  148   20   15  2.6650E+12  1.94461698E+08  9.32617726E+06
  149   20   17  1.2935E+09  1.92839797E+08  9.24839264E+06
  150   21    8  3.7445E+12  2.03897489E+08  9.77870781E+06
  151   21   10  9.9126E+11  2.00831727E+08  9.63167713E+06
  152   21   12  2.8832E+09  1.96095285E+08  9.40452237E+06
  153   21   13  5.1238E+11  1.94641793E+08  9.33481445E+06
  154   21   14  1.2684E+11  1.94561944E+08  9.33098498E+06
  155   21   15  1.7757E+09  1.94509607E+08  9.32847494E+06
  156   21   17  6.5962E+09  1.92887707E+08  9.25069032E+06
  157   22    8  4.4205E+12  2.05866877E+08  9.87315758E+06
  158   22    9  9.7945E+08  2.02916581E+08  9.73166454E+06
  159   22   11  1.7510E+09  2.02731138E+08  9.72277089E+06
  160   22   12  1.6907E+09  1.98064649E+08  9.49897098E+06
  161   22   13  4.9954E+10  1.96611157E+08  9.42926305E+06
  162   22   14  5.1796E+09  1.96531332E+08  9.42543475E+06
  163   22   16  4.7476E+11  1.94992789E+08  9.35164786E+06
  164   22   17  3.1923E+10  1.94857095E+08  9.34514009E+06
  165   23    8  4.9422E+09  2.06465017E+08  9.90184377E+06
  166   23   10  2.7124E+09  2.03399256E+08  9.75481309E+06
  167   23   11  8.3878E+12  2.03329303E+08  9.75145824E+06
  168   23   12  1.6983E+12  1.98662813E+08  9.52765833E+06
  169   23   15  5.2935E+11  1.97077136E+08  9.45161090E+06
  170   24    8  7.8840E+09  2.06494319E+08  9.90324907E+06
  171   24    9  5.9190E+12  2.03544024E+08  9.76175603E+06
  172   24   11  3.5442E+12  2.03358581E+08  9.75286238E+06
  173   24   12  2.9773E+11  1.98692091E+08  9.52906247E+06
  174   24   15  9.3594E+11  1.97106438E+08  9.45301620E+06
  175   25    8  9.1434E+11  2.06516145E+08  9.90429579E+06
  176   25   10  3.4009E+12  2.03450383E+08  9.75726511E+06
