Step 139, Time: 0.0481718, CPUs: 64
Step 140, Time: 0.0481808, CPUs: 64
Step 141, Time: 0.0481988, CPUs: 64
Step 142, Time: 0.0481999, CPUs: 64
Step 143, Time: 0.048201, CPUs: 64
Step 144, Time: 0.0482033, CPUs: 64
Step 145, Time: 0.0482078, CPUs: 64
Step 146, Time: 0.0482168, CPUs: 64
Step 147, Time: 0.0482348, CPUs: 64
Step 148, Time: 0.0482393, CPUs: 64
Step 149, Time: 0.0482438, CPUs: 64
Step 150, Time: 0.0482528, CPUs: 64
Step 151, Time: 0.0482708, CPUs: 64
Step 152, Time: 0.048273, CPUs: 64
Step 153, Time: 0.0482753, CPUs: 64
Step 154, Time: 0.0482798, CPUs: 64
Step 155, Time: 0.0482888, CPUs: 64
Step 156, Time: 0.0483068, CPUs: 64
Step 157, Time: 0.0483113, CPUs: 64
Step 158, Time: 0.0483158, CPUs: 64
Step 159, Time: 0.0483248, CPUs: 64
Step 160, Time: 0.0483428, CPUs: 64
Step 161, Time: 0.048344, CPUs: 64
Step 162, Time: 0.0483451, CPUs: 64
Step 163, Time: 0.0483474, CPUs: 64
Step 164, Time: 0.0483519, CPUs: 64
Step 165, Time: 0.0483609, CPUs: 64
Step 166, Time: 0.0483789, CPUs: 64
Step 167, Time: 0.0483834, CPUs: 64
Step 168, Time: 0.048388, CPUs: 64
Step 169, Time: 0.048397, CPUs: 64
Step 170, Time: 0.048415, CPUs: 64
Step 171, Time: 0.0484173, CPUs: 64
Step 172, Time: 0.0484196, CPUs: 64
Step 173, Time: 0.0484241, CPUs: 64
Step 174, Time: 0.0484331, CPUs: 64
Step 175, Time: 0.0484512, CPUs: 64
Step 176, Time: 0.0484557, CPUs: 64
Step 177, Time: 0.0484602, CPUs: 64
Step 178, Time: 0.0484693, CPUs: 64
Step 179, Time: 0.0484874, CPUs: 64
Step 180, Time: 0.0484885, CPUs: 64
Step 181, Time: 0.0484896, CPUs: 64
Step 182, Time: 0.0484919, CPUs: 64
Step 183, Time: 0.0484964, CPUs: 64
Step 184, Time: 0.0485054, CPUs: 64
Step 185, Time: 0.0485235, CPUs: 64
Step 186, Time: 0.0485281, CPUs: 64
Step 187, Time: 0.0485326, CPUs: 64
Step 188, Time: 0.0485417, CPUs: 64
Step 189, Time: 0.0485598, CPUs: 64
Step 190, Time: 0.048562, CPUs: 64
Step 191, Time: 0.0485643, CPUs: 64
Step 192, Time: 0.0485688, CPUs: 64
Step 193, Time: 0.0485779, CPUs: 64
Step 194, Time: 0.048596, CPUs: 64
Step 195, Time: 0.0486005, CPUs: 64
Step 196, Time: 0.0486051, CPUs: 64
Step 197, Time: 0.0486141, CPUs: 64
Step 198, Time: 0.0486323, CPUs: 64
Step 199, Time: 0.0486334, CPUs: 64
Step 200, Time: 0.0486346, CPUs: 64
Step 201, Time: 0.0486368, CPUs: 64
Step 202, Time: 0.0486414, CPUs: 64
Step 203, Time: 0.0486504, CPUs: 64
Step 204, Time: 0.0486686, CPUs: 64
Step 205, Time: 0.0486731, CPUs: 64
Step 206, Time: 0.0486777, CPUs: 64
Step 207, Time: 0.0486867, CPUs: 64
Step 208, Time: 0.0487049, CPUs: 64
Step 209, Time: 0.0487072, CPUs: 64
Step 210, Time: 0.0487095, CPUs: 64
Step 211, Time: 0.048714, CPUs: 64
Step 212, Time: 0.0487231, CPUs: 64
Step 213, Time: 0.0487413, CPUs: 64
Step 214, Time: 0.0487458, CPUs: 64
Step 215, Time: 0.0487504, CPUs: 64
Step 216, Time: 0.0487595, CPUs: 64
Step 217, Time: 0.0487777, CPUs: 64
Step 218, Time: 0.0487788, CPUs: 64
Step 219, Time: 0.0487799, CPUs: 64
Step 220, Time: 0.0487822, CPUs: 64
Step 221, Time: 0.0487868, CPUs: 64
Step 222, Time: 0.0487959, CPUs: 64
Step 223, Time: 0.0488141, CPUs: 64
Step 224, Time: 0.0488186, CPUs: 64
Step 225, Time: 0.0488232, CPUs: 64
Step 226, Time: 0.0488323, CPUs: 64
Step 227, Time: 0.0488505, CPUs: 64
Step 228, Time: 0.0488528, CPUs: 64
Step 229, Time: 0.0488551, CPUs: 64
Step 230, Time: 0.0488596, CPUs: 64
Step 231, Time: 0.0488687, CPUs: 64
Step 232, Time: 0.048887, CPUs: 64
Step 233, Time: 0.0488915, CPUs: 64
Step 234, Time: 0.0488961, CPUs: 64
Step 235, Time: 0.0489052, CPUs: 64
Step 236, Time: 0.0489235, CPUs: 64
Step 237, Time: 0.0489246, CPUs: 64
Step 238, Time: 0.0489257, CPUs: 64
Step 239, Time: 0.048928, CPUs: 64
Step 240, Time: 0.0489326, CPUs: 64
Step 241, Time: 0.0489417, CPUs: 64
Step 242, Time: 0.04896, CPUs: 64
Step 243, Time: 0.0489645, CPUs: 64
Step 244, Time: 0.0489691, CPUs: 64
Step 245, Time: 0.0489782, CPUs: 64
Step 246, Time: 0.0489965, CPUs: 64
Step 247, Time: 0.0489988, CPUs: 64
Step 248, Time: 0.0490011, CPUs: 64
Step 249, Time: 0.0490057, CPUs: 64
Step 250, Time: 0.0490148, CPUs: 64
Step 251, Time: 0.0490331, CPUs: 64
Step 252, Time: 0.0490377, CPUs: 64
Step 253, Time: 0.0490422, CPUs: 64
Step 254, Time: 0.0490514, CPUs: 64
Step 255, Time: 0.0490697, CPUs: 64
Step 256, Time: 0.0490703, CPUs: 64
Step 257, Time: 0.0490708, CPUs: 64
Step 258, Time: 0.049072, CPUs: 64
Step 259, Time: 0.0490743, CPUs: 64
Step 260, Time: 0.0490788, CPUs: 64
Step 261, Time: 0.049088, CPUs: 64
Step 262, Time: 0.0491063, CPUs: 64
Step 263, Time: 0.0491109, CPUs: 64
Step 264, Time: 0.0491155, CPUs: 64
Step 265, Time: 0.0491246, CPUs: 64
Step 266, Time: 0.049143, CPUs: 64
Step 267, Time: 0.0491453, CPUs: 64
Step 268, Time: 0.0491476, CPUs: 64
Step 269, Time: 0.0491521, CPUs: 64
Step 270, Time: 0.0491613, CPUs: 64
Step 271, Time: 0.0491797, CPUs: 64
Step 272, Time: 0.0491842, CPUs: 64
Step 273, Time: 0.0491888, CPUs: 64
Step 274, Time: 0.049198, CPUs: 64
Step 275, Time: 0.0492164, CPUs: 64
Step 276, Time: 0.0492175, CPUs: 64
Step 277, Time: 0.0492187, CPUs: 64
Step 278, Time: 0.049221, CPUs: 64
Step 279, Time: 0.0492256, CPUs: 64
Step 280, Time: 0.0492347, CPUs: 64
Step 281, Time: 0.0492531, CPUs: 64
Step 282, Time: 0.0492577, CPUs: 64
Step 283, Time: 0.0492623, CPUs: 64
Step 284, Time: 0.0492715, CPUs: 64
Step 285, Time: 0.0492899, CPUs: 64
Step 286, Time: 0.0492922, CPUs: 64
Step 287, Time: 0.0492945, CPUs: 64
Step 288, Time: 0.0492991, CPUs: 64
Step 289, Time: 0.0493083, CPUs: 64
Step 290, Time: 0.0493267, CPUs: 64
Step 291, Time: 0.0493313, CPUs: 64
Step 292, Time: 0.0493359, CPUs: 64
Step 293, Time: 0.0493451, CPUs: 64
Step 294, Time: 0.0493635, CPUs: 64
