Step 139, Time: 0.028909, CPUs: 64
Step 140, Time: 0.0289639, CPUs: 64
Step 141, Time: 0.029019, CPUs: 64
Step 142, Time: 0.0290741, CPUs: 64
Step 143, Time: 0.0291294, CPUs: 64
Step 144, Time: 0.0291848, CPUs: 64
Step 145, Time: 0.0292402, CPUs: 64
Step 146, Time: 0.0292958, CPUs: 64
Step 147, Time: 0.0293515, CPUs: 64
Step 148, Time: 0.0294073, CPUs: 64
Step 149, Time: 0.0294632, CPUs: 64
Step 150, Time: 0.0295192, CPUs: 64
Step 151, Time: 0.0295753, CPUs: 64
Step 152, Time: 0.0296315, CPUs: 64
Step 153, Time: 0.0296879, CPUs: 64
Step 154, Time: 0.0297443, CPUs: 64
Step 155, Time: 0.0298008, CPUs: 64
Step 156, Time: 0.0298575, CPUs: 64
Step 157, Time: 0.0299142, CPUs: 64
Step 158, Time: 0.0299711, CPUs: 64
Step 159, Time: 0.0300281, CPUs: 64
Step 160, Time: 0.0300566, CPUs: 64
Step 161, Time: 0.0300851, CPUs: 64
Step 162, Time: 0.0301137, CPUs: 64
Step 163, Time: 0.0301423, CPUs: 64
Step 164, Time: 0.030171, CPUs: 64
Step 165, Time: 0.0301996, CPUs: 64
Step 166, Time: 0.0302283, CPUs: 64
Step 167, Time: 0.030257, CPUs: 64
Step 168, Time: 0.0302858, CPUs: 64
Step 169, Time: 0.0303145, CPUs: 64
Step 170, Time: 0.0303722, CPUs: 64
Step 171, Time: 0.0304299, CPUs: 64
Step 172, Time: 0.0304588, CPUs: 64
Step 173, Time: 0.0304877, CPUs: 64
Step 174, Time: 0.0305167, CPUs: 64
Step 175, Time: 0.0305457, CPUs: 64
Step 176, Time: 0.0305747, CPUs: 64
Step 177, Time: 0.0306038, CPUs: 64
Step 178, Time: 0.0306328, CPUs: 64
Step 179, Time: 0.0306619, CPUs: 64
Step 180, Time: 0.0306911, CPUs: 64
Step 181, Time: 0.0307202, CPUs: 64
Step 182, Time: 0.0307494, CPUs: 64
Step 183, Time: 0.0307786, CPUs: 64
Step 184, Time: 0.0308078, CPUs: 64
Step 185, Time: 0.0308371, CPUs: 64
Step 186, Time: 0.0308664, CPUs: 64
Step 187, Time: 0.0308957, CPUs: 64
Step 188, Time: 0.0309251, CPUs: 64
Step 189, Time: 0.0309545, CPUs: 64
Step 190, Time: 0.0309839, CPUs: 64
Step 191, Time: 0.0310133, CPUs: 64
Step 192, Time: 0.0310428, CPUs: 64
Step 193, Time: 0.0310722, CPUs: 64
Step 194, Time: 0.0311018, CPUs: 64
Step 195, Time: 0.0311313, CPUs: 64
Step 196, Time: 0.0311609, CPUs: 64
Step 197, Time: 0.0311905, CPUs: 64
Step 198, Time: 0.0312201, CPUs: 64
Step 199, Time: 0.0312498, CPUs: 64
Step 200, Time: 0.0313092, CPUs: 64
Step 201, Time: 0.0313389, CPUs: 64
Step 202, Time: 0.0313687, CPUs: 64
Step 203, Time: 0.0313985, CPUs: 64
Step 204, Time: 0.0314283, CPUs: 64
Step 205, Time: 0.0314582, CPUs: 64
Step 206, Time: 0.0314881, CPUs: 64
Step 207, Time: 0.031518, CPUs: 64
Step 208, Time: 0.0315479, CPUs: 64
Step 209, Time: 0.0315779, CPUs: 64
Step 210, Time: 0.0316079, CPUs: 64
Step 211, Time: 0.0316379, CPUs: 64
Step 212, Time: 0.031668, CPUs: 64
Step 213, Time: 0.031698, CPUs: 64
Step 214, Time: 0.0317282, CPUs: 64
Step 215, Time: 0.0317583, CPUs: 64
Step 216, Time: 0.0317885, CPUs: 64
Step 217, Time: 0.0318187, CPUs: 64
Step 218, Time: 0.0318489, CPUs: 64
Step 219, Time: 0.0318791, CPUs: 64
Step 220, Time: 0.0319094, CPUs: 64
Step 221, Time: 0.0319397, CPUs: 64
Step 222, Time: 0.0319701, CPUs: 64
Step 223, Time: 0.0320005, CPUs: 64
Step 224, Time: 0.0320309, CPUs: 64
Step 225, Time: 0.0320613, CPUs: 64
Step 226, Time: 0.0320917, CPUs: 64
Step 227, Time: 0.0321222, CPUs: 64
Step 228, Time: 0.0321527, CPUs: 64
Step 229, Time: 0.0321833, CPUs: 64
Step 230, Time: 0.0322139, CPUs: 64
Step 231, Time: 0.0322445, CPUs: 64
Step 232, Time: 0.0322751, CPUs: 64
Step 233, Time: 0.0323058, CPUs: 64
Step 234, Time: 0.0323364, CPUs: 64
Step 235, Time: 0.0323672, CPUs: 64
Step 236, Time: 0.0323979, CPUs: 64
Step 237, Time: 0.0324287, CPUs: 64
Step 238, Time: 0.0324595, CPUs: 64
Step 239, Time: 0.0324903, CPUs: 64
Step 240, Time: 0.0325212, CPUs: 64
Step 241, Time: 0.0325521, CPUs: 64
Step 242, Time: 0.032583, CPUs: 64
Step 243, Time: 0.0326449, CPUs: 64
Step 244, Time: 0.032707, CPUs: 64
Step 245, Time: 0.0327381, CPUs: 64
Step 246, Time: 0.0327692, CPUs: 64
Step 247, Time: 0.0328003, CPUs: 64
Step 248, Time: 0.0328315, CPUs: 64
Step 249, Time: 0.0328626, CPUs: 64
Step 250, Time: 0.0328939, CPUs: 64
Step 251, Time: 0.0329251, CPUs: 64
Step 252, Time: 0.0329564, CPUs: 64
Step 253, Time: 0.0329877, CPUs: 64
Step 254, Time: 0.033019, CPUs: 64
Step 255, Time: 0.0330504, CPUs: 64
Step 256, Time: 0.0330818, CPUs: 64
Step 257, Time: 0.0331132, CPUs: 64
Step 258, Time: 0.0331447, CPUs: 64
Step 259, Time: 0.0331762, CPUs: 64
Step 260, Time: 0.0332077, CPUs: 64
Step 261, Time: 0.0332392, CPUs: 64
Step 262, Time: 0.0332708, CPUs: 64
Step 263, Time: 0.0333024, CPUs: 64
Step 264, Time: 0.033334, CPUs: 64
Step 265, Time: 0.0333657, CPUs: 64
Step 266, Time: 0.0333974, CPUs: 64
Step 267, Time: 0.0334291, CPUs: 64
Step 268, Time: 0.0334609, CPUs: 64
Step 269, Time: 0.0334927, CPUs: 64
Step 270, Time: 0.0335245, CPUs: 64
Step 271, Time: 0.0335563, CPUs: 64
Step 272, Time: 0.0335882, CPUs: 64
Step 273, Time: 0.0336201, CPUs: 64
Step 274, Time: 0.0336521, CPUs: 64
Step 275, Time: 0.033684, CPUs: 64
Step 276, Time: 0.033716, CPUs: 64
Step 277, Time: 0.0337481, CPUs: 64
Step 278, Time: 0.0337801, CPUs: 64
Step 279, Time: 0.0338122, CPUs: 64
